,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HH_1_NAME,OBS_VALUE
341,2021,E01016598,2021 super output areas - lower layer,151,Number of households,537
342,2021,E01016601,2021 super output areas - lower layer,151,Number of households,639
343,2021,E01016602,2021 super output areas - lower layer,151,Number of households,633
344,2021,E01016535,2021 super output areas - lower layer,151,Number of households,509
345,2021,E01016537,2021 super output areas - lower layer,151,Number of households,570
346,2021,E01016538,2021 super output areas - lower layer,151,Number of households,627
347,2021,E01016593,2021 super output areas - lower layer,151,Number of households,706
348,2021,E01016594,2021 super output areas - lower layer,151,Number of households,625
349,2021,E01016559,2021 super output areas - lower layer,151,Number of households,565
350,2021,E01016560,2021 super output areas - lower layer,151,Number of households,608
351,2021,E01016561,2021 super output areas - lower layer,151,Number of households,681
352,2021,E01016562,2021 super output areas - lower layer,151,Number of households,521
353,2021,E01016563,2021 super output areas - lower layer,151,Number of households,531
354,2021,E01016580,2021 super output areas - lower layer,151,Number of households,656
355,2021,E01016539,2021 super output areas - lower layer,151,Number of households,643
356,2021,E01016540,2021 super output areas - lower layer,151,Number of households,640
357,2021,E01016541,2021 super output areas - lower layer,151,Number of households,513
358,2021,E01016542,2021 super output areas - lower layer,151,Number of households,482
359,2021,E01016543,2021 super output areas - lower layer,151,Number of households,681
360,2021,E01016544,2021 super output areas - lower layer,151,Number of households,883
361,2021,E01016567,2021 super output areas - lower layer,151,Number of households,691
362,2021,E01016568,2021 super output areas - lower layer,151,Number of households,512
363,2021,E01016569,2021 super output areas - lower layer,151,Number of households,503
364,2021,E01016564,2021 super output areas - lower layer,151,Number of households,662
365,2021,E01016565,2021 super output areas - lower layer,151,Number of households,669
366,2021,E01016566,2021 super output areas - lower layer,151,Number of households,738
367,2021,E01016577,2021 super output areas - lower layer,151,Number of households,726
368,2021,E01016545,2021 super output areas - lower layer,151,Number of households,1139
369,2021,E01016547,2021 super output areas - lower layer,151,Number of households,774
370,2021,E01016550,2021 super output areas - lower layer,151,Number of households,514
371,2021,E01016552,2021 super output areas - lower layer,151,Number of households,712
372,2021,E01016551,2021 super output areas - lower layer,151,Number of households,629
373,2021,E01016553,2021 super output areas - lower layer,151,Number of households,678
374,2021,E01016557,2021 super output areas - lower layer,151,Number of households,827
375,2021,E01016558,2021 super output areas - lower layer,151,Number of households,530
376,2021,E01016548,2021 super output areas - lower layer,151,Number of households,823
377,2021,E01016549,2021 super output areas - lower layer,151,Number of households,853
378,2021,E01016554,2021 super output areas - lower layer,151,Number of households,688
379,2021,E01016555,2021 super output areas - lower layer,151,Number of households,641
380,2021,E01016556,2021 super output areas - lower layer,151,Number of households,768
381,2021,E01016546,2021 super output areas - lower layer,151,Number of households,755
382,2021,E01016595,2021 super output areas - lower layer,151,Number of households,707
383,2021,E01016596,2021 super output areas - lower layer,151,Number of households,856
384,2021,E01016597,2021 super output areas - lower layer,151,Number of households,611
385,2021,E01016575,2021 super output areas - lower layer,151,Number of households,662
386,2021,E01016576,2021 super output areas - lower layer,151,Number of households,686
387,2021,E01016587,2021 super output areas - lower layer,151,Number of households,676
388,2021,E01016588,2021 super output areas - lower layer,151,Number of households,806
389,2021,E01016589,2021 super output areas - lower layer,151,Number of households,671
390,2021,E01016522,2021 super output areas - lower layer,151,Number of households,715
391,2021,E01016523,2021 super output areas - lower layer,151,Number of households,586
392,2021,E01016524,2021 super output areas - lower layer,151,Number of households,886
393,2021,E01016609,2021 super output areas - lower layer,151,Number of households,768
394,2021,E01016603,2021 super output areas - lower layer,151,Number of households,726
395,2021,E01016604,2021 super output areas - lower layer,151,Number of households,962
396,2021,E01016605,2021 super output areas - lower layer,151,Number of households,628
397,2021,E01016606,2021 super output areas - lower layer,151,Number of households,652
398,2021,E01016607,2021 super output areas - lower layer,151,Number of households,576
399,2021,E01016608,2021 super output areas - lower layer,151,Number of households,809
400,2021,E01016676,2021 super output areas - lower layer,151,Number of households,627
401,2021,E01016678,2021 super output areas - lower layer,151,Number of households,605
402,2021,E01035256,2021 super output areas - lower layer,151,Number of households,1088
403,2021,E01016619,2021 super output areas - lower layer,151,Number of households,610
404,2021,E01016620,2021 super output areas - lower layer,151,Number of households,542
405,2021,E01016692,2021 super output areas - lower layer,151,Number of households,678
406,2021,E01016693,2021 super output areas - lower layer,151,Number of households,617
407,2021,E01016694,2021 super output areas - lower layer,151,Number of households,726
408,2021,E01016695,2021 super output areas - lower layer,151,Number of households,611
409,2021,E01016621,2021 super output areas - lower layer,151,Number of households,597
410,2021,E01016623,2021 super output areas - lower layer,151,Number of households,616
411,2021,E01016624,2021 super output areas - lower layer,151,Number of households,540
412,2021,E01016684,2021 super output areas - lower layer,151,Number of households,634
413,2021,E01016685,2021 super output areas - lower layer,151,Number of households,629
414,2021,E01016622,2021 super output areas - lower layer,151,Number of households,457
415,2021,E01016657,2021 super output areas - lower layer,151,Number of households,562
416,2021,E01016658,2021 super output areas - lower layer,151,Number of households,1022
417,2021,E01016659,2021 super output areas - lower layer,151,Number of households,645
418,2021,E01016660,2021 super output areas - lower layer,151,Number of households,648
419,2021,E01016615,2021 super output areas - lower layer,151,Number of households,598
420,2021,E01016616,2021 super output areas - lower layer,151,Number of households,672
421,2021,E01016617,2021 super output areas - lower layer,151,Number of households,780
422,2021,E01016662,2021 super output areas - lower layer,151,Number of households,734
423,2021,E01016613,2021 super output areas - lower layer,151,Number of households,492
424,2021,E01016614,2021 super output areas - lower layer,151,Number of households,503
425,2021,E01016618,2021 super output areas - lower layer,151,Number of households,467
426,2021,E01016664,2021 super output areas - lower layer,151,Number of households,463
427,2021,E01016668,2021 super output areas - lower layer,151,Number of households,627
