,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGW_3_NAME,OBS_VALUE
195,2021,W01000093,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2184
196,2021,W01000093,2021 super output areas - lower layer,151,Cannot write Welsh,594
197,2021,W01000093,2021 super output areas - lower layer,151,Can write Welsh,1590
198,2021,W01000098,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2422
199,2021,W01000098,2021 super output areas - lower layer,151,Cannot write Welsh,675
200,2021,W01000098,2021 super output areas - lower layer,151,Can write Welsh,1747
201,2021,W01000110,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1544
202,2021,W01000110,2021 super output areas - lower layer,151,Cannot write Welsh,308
203,2021,W01000110,2021 super output areas - lower layer,151,Can write Welsh,1236
204,2021,W01000054,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,989
205,2021,W01000054,2021 super output areas - lower layer,151,Cannot write Welsh,241
206,2021,W01000054,2021 super output areas - lower layer,151,Can write Welsh,748
207,2021,W01000088,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2009
208,2021,W01000088,2021 super output areas - lower layer,151,Cannot write Welsh,519
209,2021,W01000088,2021 super output areas - lower layer,151,Can write Welsh,1490
210,2021,W01000111,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1530
211,2021,W01000111,2021 super output areas - lower layer,151,Cannot write Welsh,511
212,2021,W01000111,2021 super output areas - lower layer,151,Can write Welsh,1019
213,2021,W01000118,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1653
214,2021,W01000118,2021 super output areas - lower layer,151,Cannot write Welsh,548
215,2021,W01000118,2021 super output areas - lower layer,151,Can write Welsh,1105
216,2021,W01000073,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1620
217,2021,W01000073,2021 super output areas - lower layer,151,Cannot write Welsh,445
218,2021,W01000073,2021 super output areas - lower layer,151,Can write Welsh,1175
219,2021,W01000086,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2113
220,2021,W01000086,2021 super output areas - lower layer,151,Cannot write Welsh,740
221,2021,W01000086,2021 super output areas - lower layer,151,Can write Welsh,1373
222,2021,W01000104,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1745
223,2021,W01000104,2021 super output areas - lower layer,151,Cannot write Welsh,420
224,2021,W01000104,2021 super output areas - lower layer,151,Can write Welsh,1325
225,2021,W01000112,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1877
226,2021,W01000112,2021 super output areas - lower layer,151,Cannot write Welsh,708
227,2021,W01000112,2021 super output areas - lower layer,151,Can write Welsh,1169
228,2021,W01000056,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1718
229,2021,W01000056,2021 super output areas - lower layer,151,Cannot write Welsh,536
230,2021,W01000056,2021 super output areas - lower layer,151,Can write Welsh,1182
231,2021,W01000065,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,995
232,2021,W01000065,2021 super output areas - lower layer,151,Cannot write Welsh,335
233,2021,W01000065,2021 super output areas - lower layer,151,Can write Welsh,660
234,2021,W01000113,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1793
235,2021,W01000113,2021 super output areas - lower layer,151,Cannot write Welsh,577
236,2021,W01000113,2021 super output areas - lower layer,151,Can write Welsh,1216
237,2021,W01000114,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1378
238,2021,W01000114,2021 super output areas - lower layer,151,Cannot write Welsh,430
239,2021,W01000114,2021 super output areas - lower layer,151,Can write Welsh,948
240,2021,W01000066,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1143
241,2021,W01000066,2021 super output areas - lower layer,151,Cannot write Welsh,485
242,2021,W01000066,2021 super output areas - lower layer,151,Can write Welsh,658
243,2021,W01000100,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1034
244,2021,W01000100,2021 super output areas - lower layer,151,Cannot write Welsh,374
245,2021,W01000100,2021 super output areas - lower layer,151,Can write Welsh,660
246,2021,W01000105,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1689
247,2021,W01000105,2021 super output areas - lower layer,151,Cannot write Welsh,512
248,2021,W01000105,2021 super output areas - lower layer,151,Can write Welsh,1177
249,2021,W01000106,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1475
250,2021,W01000106,2021 super output areas - lower layer,151,Cannot write Welsh,748
251,2021,W01000106,2021 super output areas - lower layer,151,Can write Welsh,727
252,2021,W01000107,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1167
253,2021,W01000107,2021 super output areas - lower layer,151,Cannot write Welsh,483
254,2021,W01000107,2021 super output areas - lower layer,151,Can write Welsh,684
255,2021,W01000047,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1233
256,2021,W01000047,2021 super output areas - lower layer,151,Cannot write Welsh,333
257,2021,W01000047,2021 super output areas - lower layer,151,Can write Welsh,900
258,2021,W01000061,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1698
259,2021,W01000061,2021 super output areas - lower layer,151,Cannot write Welsh,802
260,2021,W01000061,2021 super output areas - lower layer,151,Can write Welsh,896
261,2021,W01000078,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1517
262,2021,W01000078,2021 super output areas - lower layer,151,Cannot write Welsh,551
263,2021,W01000078,2021 super output areas - lower layer,151,Can write Welsh,966
264,2021,W01000089,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1869
265,2021,W01000089,2021 super output areas - lower layer,151,Cannot write Welsh,562
266,2021,W01000089,2021 super output areas - lower layer,151,Can write Welsh,1307
267,2021,W01000070,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1263
268,2021,W01000070,2021 super output areas - lower layer,151,Cannot write Welsh,417
269,2021,W01000070,2021 super output areas - lower layer,151,Can write Welsh,846
270,2021,W01000094,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1186
271,2021,W01000094,2021 super output areas - lower layer,151,Cannot write Welsh,378
272,2021,W01000094,2021 super output areas - lower layer,151,Can write Welsh,808
273,2021,W01000095,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1261
274,2021,W01000095,2021 super output areas - lower layer,151,Cannot write Welsh,393
275,2021,W01000095,2021 super output areas - lower layer,151,Can write Welsh,868
276,2021,W01000108,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2032
277,2021,W01000108,2021 super output areas - lower layer,151,Cannot write Welsh,608
278,2021,W01000108,2021 super output areas - lower layer,151,Can write Welsh,1424
279,2021,W01000109,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1815
280,2021,W01000109,2021 super output areas - lower layer,151,Cannot write Welsh,598
281,2021,W01000109,2021 super output areas - lower layer,151,Can write Welsh,1217
282,2021,W01000074,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1770
283,2021,W01000074,2021 super output areas - lower layer,151,Cannot write Welsh,921
284,2021,W01000074,2021 super output areas - lower layer,151,Can write Welsh,849
285,2021,W01000101,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1330
