,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
229,2021,E01034129,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
230,2021,E01034129,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,4
231,2021,E01034129,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",15
232,2021,E01034129,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",14
233,2021,E01034129,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",1
234,2021,E01034129,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,32
235,2021,E01034129,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,30
236,2021,E01034129,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,2
237,2021,E01034129,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,3
238,2021,E01034129,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,3
239,2021,E01034129,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
240,2021,E01034130,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1361
241,2021,E01034130,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,1188
242,2021,E01034130,2021 super output areas - lower layer,151,Married or in a registered civil partnership,136
243,2021,E01034130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,120
244,2021,E01034130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,101
245,2021,E01034130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,19
246,2021,E01034130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,16
247,2021,E01034130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,4
248,2021,E01034130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,12
249,2021,E01034130,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",7
250,2021,E01034130,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",6
251,2021,E01034130,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",1
252,2021,E01034130,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,24
253,2021,E01034130,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,24
254,2021,E01034130,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
255,2021,E01034130,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,6
256,2021,E01034130,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,6
257,2021,E01034130,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
258,2021,E01005143,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,2169
