msoa,occupation_11,qualification_11,log_med_house_price_11,log_med_income_11,score_11,occupation_21,qualification_21,log_med_house_price_21,log_med_income_21,score_21,rank_11,rank_21,ses_asc,score_pr_11,score_pr_21,score_pr_asc
E02000999,0.2578772802653399,0.1412251655629139,11.05881093278828,9.891465577308802,-10.98490248687067,0.2779836916234247,0.2168888888888888,11.395700398620015,10.181157167204903,-11.312497935026625,76.0,88.0,-0.32759544815595554,97.69938650306749,2.6993865030674846,-95.0
E02001000,0.2663934426229507,0.1602952807803849,11.289794413577894,10.145688355383795,-11.258578986903572,0.3140820840501351,0.2388440860215053,11.83138646878959,10.431199791458543,-11.60559071719572,402.0,506.0,-0.3470117302921487,87.69938650306749,15.521472392638035,-72.17791411042946
E02001001,0.45289564985321573,0.3184055899634747,11.736077016252437,10.487963186464397,-11.682330285519818,0.46414887794198123,0.3431181668413958,12.205952638329597,10.675931008412125,-11.914936344993324,1575.0,1365.0,-0.23260605947350577,51.717791411042946,41.87116564417178,-9.846625766871163
E02001002,0.3044064748201438,0.1668654738237243,11.461642696843066,10.380994213509263,-11.510656285577298,0.35274382937934323,0.2282509456110603,11.975092215947697,10.499600568082863,-11.68984065402607,1031.0,738.0,-0.17918436844877306,68.40490797546013,22.63803680981595,-45.76687116564418
E02001003,0.5757931844888367,0.4116572567253404,12.218500103788143,10.731187478961756,-11.995035673525543,0.6110757479312539,0.4503892661918171,12.644250154109457,10.829748417047593,-12.141491441219962,2582.0,2122.0,-0.1464557676944196,20.828220858895705,65.0920245398773,44.263803680981596
E02001004,0.2239759488913941,0.1419386745796241,11.119897691565697,9.991544216356411,-11.083691333796956,0.255252100840336,0.1921371563700857,11.51293546492023,10.322230781590136,-11.45467565882756,117.0,201.0,-0.3709843250306033,96.44171779141104,6.165644171779141,-90.2760736196319
E02001005,0.2854785478547853,0.1784115403747305,11.082157933374816,10.165890277802454,-11.263925607049261,0.2688081149619609,0.2314049586776859,11.561725152903833,10.404293143019792,-11.546623357289306,415.0,353.0,-0.28269775024004495,87.30061349693251,10.828220858895705,-76.47239263803681
E02001006,0.2532334921715451,0.1560531840447865,11.177466714598282,10.145688355383795,-11.245599426098156,0.29647591335273193,0.2265549468256525,11.561725152903833,10.428245666832275,-11.5732187360152,366.0,415.0,-0.32761930991704347,88.8036809815951,12.73006134969325,-76.07361963190185
E02001008,0.22204968944099368,0.1214074203100505,11.163382173096926,10.082512013210788,-11.173512263050055,0.2487046632124352,0.2057016853047724,11.608244735642321,10.281958234245314,-11.425253059806845,214.0,163.0,-0.2517407967567902,93.46625766871166,5.0,-88.46625766871166
E02001009,0.2810231593501554,0.1581508515815085,11.407576060361786,10.205109511721595,-11.329413105896299,0.3142013775008198,0.2367354133615371,11.908346971208951,10.428245666832275,-11.60967009775338,574.0,512.0,-0.2802569918570814,82.42331288343559,15.70552147239264,-66.71779141104295
E02001022,0.3777098387993329,0.2399318463444857,11.695255355062795,10.364734201103053,-11.536969119782166,0.434288958274198,0.3007109363182574,12.218500103788143,10.614007941153417,-11.845703038913488,1101.0,1144.0,-0.3087339191313223,66.25766871165644,35.0920245398773,-31.165644171779135
