,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_BEDROOMS_5_NAME,OBS_VALUE
217,2021,E02003330,2021 super output areas - middle layer,152,2 bedrooms,714
218,2021,E02003330,2021 super output areas - middle layer,152,3 bedrooms,1595
219,2021,E02003330,2021 super output areas - middle layer,152,4 or more bedrooms,285
220,2021,E02003331,2021 super output areas - middle layer,152,Total: All households,3669
221,2021,E02003331,2021 super output areas - middle layer,152,1 bedroom,457
222,2021,E02003331,2021 super output areas - middle layer,152,2 bedrooms,968
223,2021,E02003331,2021 super output areas - middle layer,152,3 bedrooms,1832
224,2021,E02003331,2021 super output areas - middle layer,152,4 or more bedrooms,412
225,2021,E02003332,2021 super output areas - middle layer,152,Total: All households,2313
226,2021,E02003332,2021 super output areas - middle layer,152,1 bedroom,104
227,2021,E02003332,2021 super output areas - middle layer,152,2 bedrooms,396
228,2021,E02003332,2021 super output areas - middle layer,152,3 bedrooms,1288
229,2021,E02003332,2021 super output areas - middle layer,152,4 or more bedrooms,525
230,2021,E02003333,2021 super output areas - middle layer,152,Total: All households,2787
231,2021,E02003333,2021 super output areas - middle layer,152,1 bedroom,587
232,2021,E02003333,2021 super output areas - middle layer,152,2 bedrooms,941
233,2021,E02003333,2021 super output areas - middle layer,152,3 bedrooms,1055
234,2021,E02003333,2021 super output areas - middle layer,152,4 or more bedrooms,204
235,2021,E02003334,2021 super output areas - middle layer,152,Total: All households,2313
236,2021,E02003334,2021 super output areas - middle layer,152,1 bedroom,224
237,2021,E02003334,2021 super output areas - middle layer,152,2 bedrooms,475
238,2021,E02003334,2021 super output areas - middle layer,152,3 bedrooms,1288
239,2021,E02003334,2021 super output areas - middle layer,152,4 or more bedrooms,326
240,2021,E02003335,2021 super output areas - middle layer,152,Total: All households,2700
241,2021,E02003335,2021 super output areas - middle layer,152,1 bedroom,190
242,2021,E02003335,2021 super output areas - middle layer,152,2 bedrooms,869
243,2021,E02003335,2021 super output areas - middle layer,152,3 bedrooms,1457
244,2021,E02003335,2021 super output areas - middle layer,152,4 or more bedrooms,184
245,2021,E02003336,2021 super output areas - middle layer,152,Total: All households,2635
246,2021,E02003336,2021 super output areas - middle layer,152,1 bedroom,83
247,2021,E02003336,2021 super output areas - middle layer,152,2 bedrooms,484
248,2021,E02003336,2021 super output areas - middle layer,152,3 bedrooms,1570
249,2021,E02003336,2021 super output areas - middle layer,152,4 or more bedrooms,498
250,2021,E02003337,2021 super output areas - middle layer,152,Total: All households,2673
