,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
237,2021,E02002508,2021 super output areas - middle layer,152,Partner's address,12
238,2021,E02002508,2021 super output areas - middle layer,152,Other,21
239,2021,E02002508,2021 super output areas - middle layer,152,Second address type not specified,0
240,2021,E02002509,2021 super output areas - middle layer,152,Total: All usual residents,126
241,2021,E02002509,2021 super output areas - middle layer,152,Armed forces base address,5
242,2021,E02002509,2021 super output areas - middle layer,152,Another address when working away from home,14
243,2021,E02002509,2021 super output areas - middle layer,152,Holiday home,17
244,2021,E02002509,2021 super output areas - middle layer,152,Student's term-time address,3
245,2021,E02002509,2021 super output areas - middle layer,152,Student's home address,6
246,2021,E02002509,2021 super output areas - middle layer,152,Another parent or guardian's address,51
247,2021,E02002509,2021 super output areas - middle layer,152,Partner's address,12
248,2021,E02002509,2021 super output areas - middle layer,152,Other,18
249,2021,E02002509,2021 super output areas - middle layer,152,Second address type not specified,0
250,2021,E02002510,2021 super output areas - middle layer,152,Total: All usual residents,232
251,2021,E02002510,2021 super output areas - middle layer,152,Armed forces base address,8
252,2021,E02002510,2021 super output areas - middle layer,152,Another address when working away from home,38
253,2021,E02002510,2021 super output areas - middle layer,152,Holiday home,32
254,2021,E02002510,2021 super output areas - middle layer,152,Student's term-time address,1
255,2021,E02002510,2021 super output areas - middle layer,152,Student's home address,6
256,2021,E02002510,2021 super output areas - middle layer,152,Another parent or guardian's address,88
257,2021,E02002510,2021 super output areas - middle layer,152,Partner's address,25
258,2021,E02002510,2021 super output areas - middle layer,152,Other,34
259,2021,E02002510,2021 super output areas - middle layer,152,Second address type not specified,0
260,2021,E02002512,2021 super output areas - middle layer,152,Total: All usual residents,219
261,2021,E02002512,2021 super output areas - middle layer,152,Armed forces base address,6
262,2021,E02002512,2021 super output areas - middle layer,152,Another address when working away from home,44
263,2021,E02002512,2021 super output areas - middle layer,152,Holiday home,53
264,2021,E02002512,2021 super output areas - middle layer,152,Student's term-time address,0
265,2021,E02002512,2021 super output areas - middle layer,152,Student's home address,6
266,2021,E02002512,2021 super output areas - middle layer,152,Another parent or guardian's address,67
267,2021,E02002512,2021 super output areas - middle layer,152,Partner's address,18
268,2021,E02002512,2021 super output areas - middle layer,152,Other,25
269,2021,E02002512,2021 super output areas - middle layer,152,Second address type not specified,0
270,2021,E02002513,2021 super output areas - middle layer,152,Total: All usual residents,290
271,2021,E02002513,2021 super output areas - middle layer,152,Armed forces base address,9
272,2021,E02002513,2021 super output areas - middle layer,152,Another address when working away from home,44
273,2021,E02002513,2021 super output areas - middle layer,152,Holiday home,35
274,2021,E02002513,2021 super output areas - middle layer,152,Student's term-time address,0
275,2021,E02002513,2021 super output areas - middle layer,152,Student's home address,2
276,2021,E02002513,2021 super output areas - middle layer,152,Another parent or guardian's address,129
277,2021,E02002513,2021 super output areas - middle layer,152,Partner's address,25
278,2021,E02002513,2021 super output areas - middle layer,152,Other,46
279,2021,E02002513,2021 super output areas - middle layer,152,Second address type not specified,0
280,2021,E02002514,2021 super output areas - middle layer,152,Total: All usual residents,291
281,2021,E02002514,2021 super output areas - middle layer,152,Armed forces base address,14
282,2021,E02002514,2021 super output areas - middle layer,152,Another address when working away from home,25
283,2021,E02002514,2021 super output areas - middle layer,152,Holiday home,63
284,2021,E02002514,2021 super output areas - middle layer,152,Student's term-time address,2
285,2021,E02002514,2021 super output areas - middle layer,152,Student's home address,14
286,2021,E02002514,2021 super output areas - middle layer,152,Another parent or guardian's address,109
287,2021,E02002514,2021 super output areas - middle layer,152,Partner's address,35
288,2021,E02002514,2021 super output areas - middle layer,152,Other,29
289,2021,E02002514,2021 super output areas - middle layer,152,Second address type not specified,0
290,2021,E02006811,2021 super output areas - middle layer,152,Total: All usual residents,438
291,2021,E02006811,2021 super output areas - middle layer,152,Armed forces base address,9
292,2021,E02006811,2021 super output areas - middle layer,152,Another address when working away from home,69
293,2021,E02006811,2021 super output areas - middle layer,152,Holiday home,83
294,2021,E02006811,2021 super output areas - middle layer,152,Student's term-time address,2
295,2021,E02006811,2021 super output areas - middle layer,152,Student's home address,18
296,2021,E02006811,2021 super output areas - middle layer,152,Another parent or guardian's address,160
297,2021,E02006811,2021 super output areas - middle layer,152,Partner's address,27
298,2021,E02006811,2021 super output areas - middle layer,152,Other,70
299,2021,E02006811,2021 super output areas - middle layer,152,Second address type not specified,0
300,2021,E02002515,2021 super output areas - middle layer,152,Total: All usual residents,245
301,2021,E02002515,2021 super output areas - middle layer,152,Armed forces base address,10
302,2021,E02002515,2021 super output areas - middle layer,152,Another address when working away from home,25
303,2021,E02002515,2021 super output areas - middle layer,152,Holiday home,29
304,2021,E02002515,2021 super output areas - middle layer,152,Student's term-time address,1
305,2021,E02002515,2021 super output areas - middle layer,152,Student's home address,9
306,2021,E02002515,2021 super output areas - middle layer,152,Another parent or guardian's address,111
307,2021,E02002515,2021 super output areas - middle layer,152,Partner's address,25
