,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGW_3_NAME,OBS_VALUE
317,2021,W02000128,2021 super output areas - middle layer,152,Can write Welsh,1543
318,2021,W02000129,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7030
319,2021,W02000129,2021 super output areas - middle layer,152,Cannot write Welsh,5326
320,2021,W02000129,2021 super output areas - middle layer,152,Can write Welsh,1704
321,2021,W02000130,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6464
322,2021,W02000130,2021 super output areas - middle layer,152,Cannot write Welsh,5877
323,2021,W02000130,2021 super output areas - middle layer,152,Can write Welsh,587
324,2021,W02000131,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6992
325,2021,W02000131,2021 super output areas - middle layer,152,Cannot write Welsh,6296
326,2021,W02000131,2021 super output areas - middle layer,152,Can write Welsh,696
327,2021,W02000132,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6829
328,2021,W02000132,2021 super output areas - middle layer,152,Cannot write Welsh,5772
329,2021,W02000132,2021 super output areas - middle layer,152,Can write Welsh,1057
330,2021,W02000133,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8103
331,2021,W02000133,2021 super output areas - middle layer,152,Cannot write Welsh,7330
332,2021,W02000133,2021 super output areas - middle layer,152,Can write Welsh,773
333,2021,W02000134,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8133
334,2021,W02000134,2021 super output areas - middle layer,152,Cannot write Welsh,7540
335,2021,W02000134,2021 super output areas - middle layer,152,Can write Welsh,593
336,2021,W02000135,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7116
337,2021,W02000135,2021 super output areas - middle layer,152,Cannot write Welsh,6642
338,2021,W02000135,2021 super output areas - middle layer,152,Can write Welsh,474
339,2021,W02000136,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8141
340,2021,W02000136,2021 super output areas - middle layer,152,Cannot write Welsh,7413
341,2021,W02000136,2021 super output areas - middle layer,152,Can write Welsh,728
342,2021,W02000137,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7186
