,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
165,2021,E02002497,2021 super output areas - middle layer,152,District or communal heat networks only,13
166,2021,E02002497,2021 super output areas - middle layer,152,Other central heating only,72
167,2021,E02002497,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),305
168,2021,E02002497,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),0
169,2021,E02002498,2021 super output areas - middle layer,152,Total: All households,3646
170,2021,E02002498,2021 super output areas - middle layer,152,No central heating,102
171,2021,E02002498,2021 super output areas - middle layer,152,Mains gas only,2533
172,2021,E02002498,2021 super output areas - middle layer,152,Tank or bottled gas only,22
173,2021,E02002498,2021 super output areas - middle layer,152,Electric only,390
174,2021,E02002498,2021 super output areas - middle layer,152,Oil only,5
175,2021,E02002498,2021 super output areas - middle layer,152,Wood only,0
176,2021,E02002498,2021 super output areas - middle layer,152,Solid fuel only,0
177,2021,E02002498,2021 super output areas - middle layer,152,Renewable energy only,9
178,2021,E02002498,2021 super output areas - middle layer,152,District or communal heat networks only,16
179,2021,E02002498,2021 super output areas - middle layer,152,Other central heating only,126
180,2021,E02002498,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),435
181,2021,E02002498,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),8
182,2021,E02002499,2021 super output areas - middle layer,152,Total: All households,3067
183,2021,E02002499,2021 super output areas - middle layer,152,No central heating,35
184,2021,E02002499,2021 super output areas - middle layer,152,Mains gas only,2455
185,2021,E02002499,2021 super output areas - middle layer,152,Tank or bottled gas only,19
186,2021,E02002499,2021 super output areas - middle layer,152,Electric only,170
187,2021,E02002499,2021 super output areas - middle layer,152,Oil only,0
188,2021,E02002499,2021 super output areas - middle layer,152,Wood only,0
189,2021,E02002499,2021 super output areas - middle layer,152,Solid fuel only,0
190,2021,E02002499,2021 super output areas - middle layer,152,Renewable energy only,2
191,2021,E02002499,2021 super output areas - middle layer,152,District or communal heat networks only,11
192,2021,E02002499,2021 super output areas - middle layer,152,Other central heating only,66
193,2021,E02002499,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),299
194,2021,E02002499,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),10
195,2021,E02002500,2021 super output areas - middle layer,152,Total: All households,2334
196,2021,E02002500,2021 super output areas - middle layer,152,No central heating,45
197,2021,E02002500,2021 super output areas - middle layer,152,Mains gas only,1863
198,2021,E02002500,2021 super output areas - middle layer,152,Tank or bottled gas only,7
199,2021,E02002500,2021 super output areas - middle layer,152,Electric only,122
200,2021,E02002500,2021 super output areas - middle layer,152,Oil only,0
201,2021,E02002500,2021 super output areas - middle layer,152,Wood only,1
202,2021,E02002500,2021 super output areas - middle layer,152,Solid fuel only,0
203,2021,E02002500,2021 super output areas - middle layer,152,Renewable energy only,1
204,2021,E02002500,2021 super output areas - middle layer,152,District or communal heat networks only,4
205,2021,E02002500,2021 super output areas - middle layer,152,Other central heating only,39
206,2021,E02002500,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),248
207,2021,E02002500,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),4
208,2021,E02002501,2021 super output areas - middle layer,152,Total: All households,2610
209,2021,E02002501,2021 super output areas - middle layer,152,No central heating,25
210,2021,E02002501,2021 super output areas - middle layer,152,Mains gas only,2098
211,2021,E02002501,2021 super output areas - middle layer,152,Tank or bottled gas only,8
212,2021,E02002501,2021 super output areas - middle layer,152,Electric only,143
213,2021,E02002501,2021 super output areas - middle layer,152,Oil only,1
214,2021,E02002501,2021 super output areas - middle layer,152,Wood only,2
