,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ROOMS_10_NAME,OBS_VALUE
290,2021,E02006811,2021 super output areas - middle layer,152,Total: All households,4731
291,2021,E02006811,2021 super output areas - middle layer,152,1 room,30
292,2021,E02006811,2021 super output areas - middle layer,152,2 rooms,111
293,2021,E02006811,2021 super output areas - middle layer,152,3 rooms,666
294,2021,E02006811,2021 super output areas - middle layer,152,4 rooms,1196
295,2021,E02006811,2021 super output areas - middle layer,152,5 rooms,1313
296,2021,E02006811,2021 super output areas - middle layer,152,6 rooms,835
297,2021,E02006811,2021 super output areas - middle layer,152,7 rooms,332
298,2021,E02006811,2021 super output areas - middle layer,152,8 rooms,152
299,2021,E02006811,2021 super output areas - middle layer,152,9 or more rooms,96
300,2021,E02002515,2021 super output areas - middle layer,152,Total: All households,3134
301,2021,E02002515,2021 super output areas - middle layer,152,1 room,15
302,2021,E02002515,2021 super output areas - middle layer,152,2 rooms,487
303,2021,E02002515,2021 super output areas - middle layer,152,3 rooms,781
304,2021,E02002515,2021 super output areas - middle layer,152,4 rooms,822
305,2021,E02002515,2021 super output areas - middle layer,152,5 rooms,714
306,2021,E02002515,2021 super output areas - middle layer,152,6 rooms,187
307,2021,E02002515,2021 super output areas - middle layer,152,7 rooms,72
308,2021,E02002515,2021 super output areas - middle layer,152,8 rooms,29
309,2021,E02002515,2021 super output areas - middle layer,152,9 or more rooms,27
310,2021,E02002516,2021 super output areas - middle layer,152,Total: All households,2563
311,2021,E02002516,2021 super output areas - middle layer,152,1 room,1
312,2021,E02002516,2021 super output areas - middle layer,152,2 rooms,156
313,2021,E02002516,2021 super output areas - middle layer,152,3 rooms,345
314,2021,E02002516,2021 super output areas - middle layer,152,4 rooms,900
315,2021,E02002516,2021 super output areas - middle layer,152,5 rooms,1001
316,2021,E02002516,2021 super output areas - middle layer,152,6 rooms,125
317,2021,E02002516,2021 super output areas - middle layer,152,7 rooms,23
318,2021,E02002516,2021 super output areas - middle layer,152,8 rooms,6
319,2021,E02002516,2021 super output areas - middle layer,152,9 or more rooms,6
320,2021,E02002517,2021 super output areas - middle layer,152,Total: All households,2386
321,2021,E02002517,2021 super output areas - middle layer,152,1 room,3
322,2021,E02002517,2021 super output areas - middle layer,152,2 rooms,193
323,2021,E02002517,2021 super output areas - middle layer,152,3 rooms,479
324,2021,E02002517,2021 super output areas - middle layer,152,4 rooms,605
325,2021,E02002517,2021 super output areas - middle layer,152,5 rooms,975
326,2021,E02002517,2021 super output areas - middle layer,152,6 rooms,99
327,2021,E02002517,2021 super output areas - middle layer,152,7 rooms,22
328,2021,E02002517,2021 super output areas - middle layer,152,8 rooms,7
329,2021,E02002517,2021 super output areas - middle layer,152,9 or more rooms,3
330,2021,E02002518,2021 super output areas - middle layer,152,Total: All households,4765
331,2021,E02002518,2021 super output areas - middle layer,152,1 room,0
332,2021,E02002518,2021 super output areas - middle layer,152,2 rooms,98
333,2021,E02002518,2021 super output areas - middle layer,152,3 rooms,920
334,2021,E02002518,2021 super output areas - middle layer,152,4 rooms,1166
335,2021,E02002518,2021 super output areas - middle layer,152,5 rooms,1764
336,2021,E02002518,2021 super output areas - middle layer,152,6 rooms,627
337,2021,E02002518,2021 super output areas - middle layer,152,7 rooms,144
338,2021,E02002518,2021 super output areas - middle layer,152,8 rooms,33
339,2021,E02002518,2021 super output areas - middle layer,152,9 or more rooms,13
340,2021,E02002519,2021 super output areas - middle layer,152,Total: All households,3395
341,2021,E02002519,2021 super output areas - middle layer,152,1 room,14
342,2021,E02002519,2021 super output areas - middle layer,152,2 rooms,529
343,2021,E02002519,2021 super output areas - middle layer,152,3 rooms,692
344,2021,E02002519,2021 super output areas - middle layer,152,4 rooms,1066
345,2021,E02002519,2021 super output areas - middle layer,152,5 rooms,803
346,2021,E02002519,2021 super output areas - middle layer,152,6 rooms,205
347,2021,E02002519,2021 super output areas - middle layer,152,7 rooms,64
348,2021,E02002519,2021 super output areas - middle layer,152,8 rooms,12
349,2021,E02002519,2021 super output areas - middle layer,152,9 or more rooms,10
350,2021,E02002520,2021 super output areas - middle layer,152,Total: All households,5956
351,2021,E02002520,2021 super output areas - middle layer,152,1 room,4
352,2021,E02002520,2021 super output areas - middle layer,152,2 rooms,259
353,2021,E02002520,2021 super output areas - middle layer,152,3 rooms,836
354,2021,E02002520,2021 super output areas - middle layer,152,4 rooms,1859
355,2021,E02002520,2021 super output areas - middle layer,152,5 rooms,1889
356,2021,E02002520,2021 super output areas - middle layer,152,6 rooms,709
357,2021,E02002520,2021 super output areas - middle layer,152,7 rooms,300
358,2021,E02002520,2021 super output areas - middle layer,152,8 rooms,85
359,2021,E02002520,2021 super output areas - middle layer,152,9 or more rooms,15
360,2021,E02002521,2021 super output areas - middle layer,152,Total: All households,2864
361,2021,E02002521,2021 super output areas - middle layer,152,1 room,6
362,2021,E02002521,2021 super output areas - middle layer,152,2 rooms,398
363,2021,E02002521,2021 super output areas - middle layer,152,3 rooms,659
364,2021,E02002521,2021 super output areas - middle layer,152,4 rooms,573
365,2021,E02002521,2021 super output areas - middle layer,152,5 rooms,721
366,2021,E02002521,2021 super output areas - middle layer,152,6 rooms,303
367,2021,E02002521,2021 super output areas - middle layer,152,7 rooms,98
368,2021,E02002521,2021 super output areas - middle layer,152,8 rooms,60
369,2021,E02002521,2021 super output areas - middle layer,152,9 or more rooms,46
370,2021,E02002523,2021 super output areas - middle layer,152,Total: All households,2672
371,2021,E02002523,2021 super output areas - middle layer,152,1 room,0
372,2021,E02002523,2021 super output areas - middle layer,152,2 rooms,156
373,2021,E02002523,2021 super output areas - middle layer,152,3 rooms,739
374,2021,E02002523,2021 super output areas - middle layer,152,4 rooms,915
375,2021,E02002523,2021 super output areas - middle layer,152,5 rooms,809
376,2021,E02002523,2021 super output areas - middle layer,152,6 rooms,31
377,2021,E02002523,2021 super output areas - middle layer,152,7 rooms,10
378,2021,E02002523,2021 super output areas - middle layer,152,8 rooms,6
379,2021,E02002523,2021 super output areas - middle layer,152,9 or more rooms,6
380,2021,E02002524,2021 super output areas - middle layer,152,Total: All households,2380
381,2021,E02002524,2021 super output areas - middle layer,152,1 room,1
382,2021,E02002524,2021 super output areas - middle layer,152,2 rooms,87
383,2021,E02002524,2021 super output areas - middle layer,152,3 rooms,537
384,2021,E02002524,2021 super output areas - middle layer,152,4 rooms,873
385,2021,E02002524,2021 super output areas - middle layer,152,5 rooms,682
386,2021,E02002524,2021 super output areas - middle layer,152,6 rooms,159
387,2021,E02002524,2021 super output areas - middle layer,152,7 rooms,32
388,2021,E02002524,2021 super output areas - middle layer,152,8 rooms,5
389,2021,E02002524,2021 super output areas - middle layer,152,9 or more rooms,4
390,2021,E02002525,2021 super output areas - middle layer,152,Total: All households,3799
391,2021,E02002525,2021 super output areas - middle layer,152,1 room,52
392,2021,E02002525,2021 super output areas - middle layer,152,2 rooms,271
393,2021,E02002525,2021 super output areas - middle layer,152,3 rooms,1204
394,2021,E02002525,2021 super output areas - middle layer,152,4 rooms,1259
395,2021,E02002525,2021 super output areas - middle layer,152,5 rooms,855
396,2021,E02002525,2021 super output areas - middle layer,152,6 rooms,114
397,2021,E02002525,2021 super output areas - middle layer,152,7 rooms,29
398,2021,E02002525,2021 super output areas - middle layer,152,8 rooms,11
399,2021,E02002525,2021 super output areas - middle layer,152,9 or more rooms,4
400,2021,E02002526,2021 super output areas - middle layer,152,Total: All households,3381
401,2021,E02002526,2021 super output areas - middle layer,152,1 room,2
402,2021,E02002526,2021 super output areas - middle layer,152,2 rooms,91
403,2021,E02002526,2021 super output areas - middle layer,152,3 rooms,1022
404,2021,E02002526,2021 super output areas - middle layer,152,4 rooms,1003
405,2021,E02002526,2021 super output areas - middle layer,152,5 rooms,664
406,2021,E02002526,2021 super output areas - middle layer,152,6 rooms,433
407,2021,E02002526,2021 super output areas - middle layer,152,7 rooms,102
408,2021,E02002526,2021 super output areas - middle layer,152,8 rooms,46
409,2021,E02002526,2021 super output areas - middle layer,152,9 or more rooms,18
410,2021,E02002527,2021 super output areas - middle layer,152,Total: All households,2224
411,2021,E02002527,2021 super output areas - middle layer,152,1 room,2
