,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_2ADDR_4_NAME,OBS_VALUE
206,2021,E02002537,2021 super output areas - middle layer,152,Second address is in the UK,270
207,2021,E02002537,2021 super output areas - middle layer,152,Second address is outside the UK,26
208,2021,E02002538,2021 super output areas - middle layer,152,Total: All usual residents,5638
209,2021,E02002538,2021 super output areas - middle layer,152,No second address,5457
210,2021,E02002538,2021 super output areas - middle layer,152,Second address is in the UK,172
211,2021,E02002538,2021 super output areas - middle layer,152,Second address is outside the UK,9
212,2021,E02002539,2021 super output areas - middle layer,152,Total: All usual residents,10537
213,2021,E02002539,2021 super output areas - middle layer,152,No second address,10076
214,2021,E02002539,2021 super output areas - middle layer,152,Second address is in the UK,335
215,2021,E02002539,2021 super output areas - middle layer,152,Second address is outside the UK,126
216,2021,E02002540,2021 super output areas - middle layer,152,Total: All usual residents,6067
217,2021,E02002540,2021 super output areas - middle layer,152,No second address,5873
218,2021,E02002540,2021 super output areas - middle layer,152,Second address is in the UK,162
219,2021,E02002540,2021 super output areas - middle layer,152,Second address is outside the UK,32
220,2021,E02002541,2021 super output areas - middle layer,152,Total: All usual residents,6015
221,2021,E02002541,2021 super output areas - middle layer,152,No second address,5789
222,2021,E02002541,2021 super output areas - middle layer,152,Second address is in the UK,192
223,2021,E02002541,2021 super output areas - middle layer,152,Second address is outside the UK,34
224,2021,E02002542,2021 super output areas - middle layer,152,Total: All usual residents,8026
225,2021,E02002542,2021 super output areas - middle layer,152,No second address,7808
226,2021,E02002542,2021 super output areas - middle layer,152,Second address is in the UK,199
227,2021,E02002542,2021 super output areas - middle layer,152,Second address is outside the UK,19
228,2021,E02002543,2021 super output areas - middle layer,152,Total: All usual residents,9246
229,2021,E02002543,2021 super output areas - middle layer,152,No second address,8968
230,2021,E02002543,2021 super output areas - middle layer,152,Second address is in the UK,244
231,2021,E02002543,2021 super output areas - middle layer,152,Second address is outside the UK,34
232,2021,E02002544,2021 super output areas - middle layer,152,Total: All usual residents,8919
233,2021,E02002544,2021 super output areas - middle layer,152,No second address,8587
234,2021,E02002544,2021 super output areas - middle layer,152,Second address is in the UK,316
235,2021,E02002544,2021 super output areas - middle layer,152,Second address is outside the UK,16
236,2021,E02002545,2021 super output areas - middle layer,152,Total: All usual residents,5032
237,2021,E02002545,2021 super output areas - middle layer,152,No second address,4885
238,2021,E02002545,2021 super output areas - middle layer,152,Second address is in the UK,121
239,2021,E02002545,2021 super output areas - middle layer,152,Second address is outside the UK,26
240,2021,E02002546,2021 super output areas - middle layer,152,Total: All usual residents,7452
241,2021,E02002546,2021 super output areas - middle layer,152,No second address,7199
242,2021,E02002546,2021 super output areas - middle layer,152,Second address is in the UK,218
243,2021,E02002546,2021 super output areas - middle layer,152,Second address is outside the UK,35
244,2021,E02002547,2021 super output areas - middle layer,152,Total: All usual residents,6091
245,2021,E02002547,2021 super output areas - middle layer,152,No second address,5904
246,2021,E02002547,2021 super output areas - middle layer,152,Second address is in the UK,144
247,2021,E02002547,2021 super output areas - middle layer,152,Second address is outside the UK,43
248,2021,E02002549,2021 super output areas - middle layer,152,Total: All usual residents,7454
249,2021,E02002549,2021 super output areas - middle layer,152,No second address,7172
250,2021,E02002549,2021 super output areas - middle layer,152,Second address is in the UK,233
251,2021,E02002549,2021 super output areas - middle layer,152,Second address is outside the UK,49
252,2021,E02002550,2021 super output areas - middle layer,152,Total: All usual residents,6046
253,2021,E02002550,2021 super output areas - middle layer,152,No second address,5811
254,2021,E02002550,2021 super output areas - middle layer,152,Second address is in the UK,184
255,2021,E02002550,2021 super output areas - middle layer,152,Second address is outside the UK,51
256,2021,E02002551,2021 super output areas - middle layer,152,Total: All usual residents,5365
257,2021,E02002551,2021 super output areas - middle layer,152,No second address,5134
258,2021,E02002551,2021 super output areas - middle layer,152,Second address is in the UK,188
259,2021,E02002551,2021 super output areas - middle layer,152,Second address is outside the UK,43
260,2021,E02002552,2021 super output areas - middle layer,152,Total: All usual residents,7148
261,2021,E02002552,2021 super output areas - middle layer,152,No second address,6917
262,2021,E02002552,2021 super output areas - middle layer,152,Second address is in the UK,206
263,2021,E02002552,2021 super output areas - middle layer,152,Second address is outside the UK,25
264,2021,E02002553,2021 super output areas - middle layer,152,Total: All usual residents,5797
265,2021,E02002553,2021 super output areas - middle layer,152,No second address,5606
266,2021,E02002553,2021 super output areas - middle layer,152,Second address is in the UK,164
267,2021,E02002553,2021 super output areas - middle layer,152,Second address is outside the UK,27
268,2021,E02002554,2021 super output areas - middle layer,152,Total: All usual residents,5041
269,2021,E02002554,2021 super output areas - middle layer,152,No second address,4898
270,2021,E02002554,2021 super output areas - middle layer,152,Second address is in the UK,126
271,2021,E02002554,2021 super output areas - middle layer,152,Second address is outside the UK,17
272,2021,E02002555,2021 super output areas - middle layer,152,Total: All usual residents,10307
273,2021,E02002555,2021 super output areas - middle layer,152,No second address,9793
274,2021,E02002555,2021 super output areas - middle layer,152,Second address is in the UK,391
275,2021,E02002555,2021 super output areas - middle layer,152,Second address is outside the UK,123
276,2021,E02002556,2021 super output areas - middle layer,152,Total: All usual residents,7267
277,2021,E02002556,2021 super output areas - middle layer,152,No second address,6992
278,2021,E02002556,2021 super output areas - middle layer,152,Second address is in the UK,206
279,2021,E02002556,2021 super output areas - middle layer,152,Second address is outside the UK,69
280,2021,E02002558,2021 super output areas - middle layer,152,Total: All usual residents,11015
281,2021,E02002558,2021 super output areas - middle layer,152,No second address,10442
282,2021,E02002558,2021 super output areas - middle layer,152,Second address is in the UK,429
283,2021,E02002558,2021 super output areas - middle layer,152,Second address is outside the UK,144
284,2021,E02007060,2021 super output areas - middle layer,152,Total: All usual residents,6101
285,2021,E02007060,2021 super output areas - middle layer,152,No second address,5886
286,2021,E02007060,2021 super output areas - middle layer,152,Second address is in the UK,188
287,2021,E02007060,2021 super output areas - middle layer,152,Second address is outside the UK,27
