,GEOGRAPHY_CODE,Family member or partner of staff or owner,Resident,Resident: Female: Aged 0 to 15 years,Resident: Female: Aged 16 to 24 years,Resident: Female: Aged 25 to 34 years,Resident: Female: Aged 35 to 49 years,Resident: Female: Aged 50 to 64 years,Resident: Female: Aged 65 to 74 years,Resident: Female: Aged 75 to 84 years,Resident: Female: Aged 85 years and over,Resident: Male: Aged 0 to 15 years,Resident: Male: Aged 16 to 24 years,Resident: Male: Aged 25 to 34 years,Resident: Male: Aged 35 to 49 years,Resident: Male: Aged 50 to 64 years,Resident: Male: Aged 65 to 74 years,Resident: Male: Aged 75 to 84 years,Resident: Male: Aged 85 years and over,Resident:Female,Resident:Male,Staff or owner,Staying temporarily (no usual UK address),Total: All usual residents in communal establishments
77,E02000093,0.0,1.0,0.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.018518518518518517,0.14814814814814814,0.48148148148148145,0.05555555555555555,0.0,0.018518518518518517,0.1111111111111111,0.8888888888888888,0.0,0.0,54.0
78,E02000094,0.0,1.0,0.0,0.0,0.029411764705882353,0.014705882352941176,0.04411764705882353,0.08823529411764706,0.17647058823529413,0.14705882352941177,0.0,0.0,0.029411764705882353,0.0,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.5,0.5,0.0,0.0,68.0
79,E02000096,0.0,1.0,0.0,0.0,0.1702127659574468,0.0851063829787234,0.0851063829787234,0.1276595744680851,0.0,0.06382978723404255,0.0,0.0,0.0425531914893617,0.02127659574468085,0.1702127659574468,0.06382978723404255,0.0851063829787234,0.0851063829787234,0.5319148936170213,0.46808510638297873,0.0,0.0,47.0
80,E02000098,0.0,1.0,0.0,0.0,0.0,0.0,0.08196721311475409,0.040983606557377046,0.13114754098360656,0.3524590163934426,0.0,0.0,0.0,0.03278688524590164,0.08196721311475409,0.09836065573770492,0.08196721311475409,0.09836065573770492,0.6065573770491803,0.39344262295081966,0.0,0.0,122.0
81,E02000099,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,1.0,0.0,0.0,5.0
82,E02000100,0.0,0.9869109947643979,0.0,0.5052356020942408,0.07591623036649214,0.007853403141361256,0.007853403141361256,0.007853403141361256,0.015706806282722512,0.01832460732984293,0.0,0.28534031413612565,0.02356020942408377,0.002617801047120419,0.007853403141361256,0.013089005235602094,0.013089005235602094,0.002617801047120419,0.6387434554973822,0.3481675392670157,0.002617801047120419,0.010471204188481676,382.0
83,E02000101,0.0,1.0,0.0,0.010526315789473684,0.03684210526315789,0.07368421052631578,0.07894736842105263,0.06315789473684211,0.11052631578947368,0.24210526315789474,0.0,0.0,0.02631578947368421,0.08947368421052632,0.02631578947368421,0.08947368421052632,0.06842105263157895,0.08421052631578947,0.6157894736842106,0.38421052631578945,0.0,0.0,190.0
84,E02000102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.125,0.0,0.125,0.875,0.0,0.0,8.0
85,E02000103,0.0,0.7664670658682635,0.03592814371257485,0.059880239520958084,0.20359281437125748,0.10778443113772455,0.011976047904191617,0.005988023952095809,0.0,0.0,0.03592814371257485,0.029940119760479042,0.11976047904191617,0.09580838323353294,0.041916167664670656,0.011976047904191617,0.005988023952095809,0.0,0.4251497005988024,0.3413173652694611,0.005988023952095809,0.2275449101796407,167.0
86,E02000104,0.03418803418803419,0.9572649572649573,0.0,0.0,0.03418803418803419,0.05128205128205128,0.06837606837606838,0.042735042735042736,0.06837606837606838,0.21367521367521367,0.0,0.10256410256410256,0.008547008547008548,0.03418803418803419,0.05982905982905983,0.06837606837606838,0.13675213675213677,0.06837606837606838,0.47863247863247865,0.47863247863247865,0.008547008547008548,0.0,117.0
87,E02000105,0.0,1.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.15555555555555556,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.4444444444444444,0.06666666666666667,0.044444444444444446,0.0,0.24444444444444444,0.7555555555555555,0.0,0.0,45.0
