,GEOGRAPHY_CODE,Bad health,Fair health,Good health,Total: All usual residents,Very bad health,Very good health
4015,E02004190,0.03847479039852992,0.11645802228092339,0.3197427357298725,8707.0,0.011025611576892155,0.514298840013782
4016,E02004191,0.04940733355489088,0.1494405671873269,0.323252464827739,9027.0,0.017059931317159632,0.4608397031128836
4017,E02004192,0.03439325113562622,0.12939649578195977,0.33783257624918883,7705.0,0.010772225827384815,0.48760545100584035
4018,E02004193,0.03419018817204301,0.1141633064516129,0.33560147849462363,11904.0,0.010248655913978494,0.5057963709677419
4019,E02004194,0.03290899241603467,0.10847778981581799,0.3105362946912243,7384.0,0.00866738894907909,0.539409534127844
4020,E02004195,0.053422053231939166,0.1482889733840304,0.33269961977186313,5260.0,0.015399239543726236,0.45019011406844106
4021,E02004196,0.0351808418713739,0.11529440809776571,0.32588569312430565,8101.0,0.008764350080237009,0.5148747068263178
4022,E02004197,0.03705239872805199,0.11447532144338449,0.3431494538918844,7233.0,0.009677865339416563,0.49564496059726254
4023,E02004198,0.04581609926821508,0.1514476614699332,0.33264397072860324,6286.0,0.011931275851097677,0.4581609926821508
4024,E02004199,0.03643935450286309,0.14228700329689398,0.35953496442824917,5763.0,0.011799410029498525,0.4499392677424952
4025,E02004200,0.03495411052528803,0.14020699082210505,0.3436828744385862,5121.0,0.01386447959382933,0.46729154462019135
4026,E02004201,0.039730271550938584,0.13431747767450336,0.32494988153818116,5487.0,0.009476945507563332,0.4915254237288136
4027,E02004202,0.03174238067855089,0.1144335825186889,0.3285796434732605,8695.0,0.0097757331799885,0.5154686601495112
4028,E02004203,0.034650879331359914,0.12954901619362702,0.3465087933135992,5743.0,0.008706251088281386,0.4805850600731325
4029,E02004204,0.03471798004479739,0.13581755243331298,0.34331093463653023,9822.0,0.009672164528609245,0.47648136835675015
4030,E02004205,0.04341247672253259,0.14338919925512103,0.3606843575418994,8592.0,0.01245344506517691,0.44006052141527
4031,E02004206,0.06145083932853717,0.1723621103117506,0.36960431654676257,6672.0,0.018735011990407675,0.37784772182254195
4032,E02004207,0.04121410504389228,0.13346228239845262,0.34756732629073056,6721.0,0.012795714923374498,0.46496057134355007
4033,E02004208,0.0411715280278478,0.13707838194694513,0.3781058696435002,8331.0,0.008642419877565718,0.43500180050414117
4034,E02004209,0.0411522633744856,0.13439462854667533,0.35152696556205326,9234.0,0.012345679012345678,0.4605804635044401
4035,E02004210,0.06515151515151515,0.18045454545454545,0.3490909090909091,6600.0,0.016212121212121212,0.3890909090909091
4036,E02004211,0.04212759509016518,0.14183967267767844,0.3533868767995151,6599.0,0.009698439157448098,0.4529474162751932
4037,E02004212,0.04035656401944895,0.13209076175040518,0.34570502431118316,6170.0,0.007293354943273906,0.4745542949756888
4038,E02004213,0.024784365105360848,0.12261163882519925,0.3366088000873458,9159.0,0.0075335735342286275,0.5084616224478655
4039,E02004214,0.05502628120893561,0.15752299605781866,0.37040078843626806,6088.0,0.013469119579500657,0.403580814717477
4040,E02004215,0.048378795676788475,0.15611597186481385,0.3470578143763939,5829.0,0.01544004117344313,0.43300737690856067
4041,E02004216,0.04713077891707142,0.15362475265335493,0.3651735923727289,5559.0,0.01457096600107933,0.4194999100557654
