,GEOGRAPHY_CODE,Address one year ago is student term-time or boarding school address in the UK,Address one year ago is the same as the address of enumeration,Migrant from outside the UK: Address one year ago was outside the UK,Migrant from within the UK: Address one year ago was in the UK,Total: All usual residents
3849,E02004015,0.0036077402427025255,0.8696293866841588,0.011151197113807805,0.11561167595933093,6098.0
3850,E02004016,0.003136762860727729,0.898870765370138,0.011668757841907152,0.0863237139272271,7970.0
3851,E02004017,0.0017024174327545114,0.9147656338667575,0.0052207467937805015,0.07831120190670753,8811.0
3852,E02004018,0.001576904415332363,0.901140223192625,0.007156720038816108,0.09012615235322659,8244.0
3853,E02004019,0.0021027730319358655,0.9304770666316204,0.0027598896044158236,0.06466027073202786,7609.0
3854,E02004020,0.0032775768535262205,0.9118444846292948,0.0053119349005424955,0.07956600361663653,8848.0
3855,E02004021,0.0020988360999809196,0.9107040641099027,0.006868918145392101,0.08032818164472429,5241.0
3856,E02004022,0.002899601304820587,0.9175425878941645,0.003986951794128307,0.07557085900688655,5518.0
3857,E02004023,0.00492845786963434,0.8750397456279809,0.010492845786963434,0.1095389507154213,6290.0
3858,E02004024,0.0025720860971977797,0.9178286178421552,0.004873426289427373,0.07472586977121971,7387.0
3859,E02004025,0.0018920282542885974,0.9147325933400605,0.0073158425832492435,0.07605953582240162,7928.0
3860,E02004026,0.002609019754006709,0.894645297552491,0.004472605292582929,0.09827307740091937,8049.0
3861,E02004027,0.001393110435663627,0.90919452887538,0.005825734549138805,0.08358662613981763,7896.0
3862,E02004028,0.0025458248472505093,0.922988798370672,0.004327902240325866,0.07013747454175152,7856.0
3863,E02004029,0.000687096330905593,0.911914250377903,0.003023223855984609,0.08437542943520682,7277.0
3864,E02004030,0.0015015015015015015,0.9155822489155823,0.004337671004337671,0.07857857857857858,5994.0
3865,E02004031,0.001216709476814925,0.9113153981343788,0.002027849128024875,0.0854400432607814,7397.0
3866,E02004032,0.001433349259436216,0.9358576206402294,0.0016722408026755853,0.061036789297658864,8372.0
3867,E02004033,0.0011304544426859599,0.9059461903685282,0.0012434998869545557,0.09167985530183134,8846.0
3868,E02004034,0.0013264554163596167,0.9330876934414148,0.0005895357406042742,0.06499631540162122,6785.0
3869,E02004035,0.0023581197924854584,0.9284703662946078,0.004087407640308128,0.06508410627259865,6361.0
3870,E02004036,0.0003914277326548586,0.9182894608082983,0.0023485663959291517,0.07897054506311772,10219.0
3871,E02004037,0.002687140115163148,0.9319257837492002,0.0028150991682661546,0.06257197696737044,7815.0
3872,E02004038,0.0021441972661484857,0.9107477887965693,0.0029482712409541678,0.08415974269632806,7462.0
3873,E02004039,0.0020868657884439805,0.9261771227337942,0.0010434328942219902,0.07069257858353985,7667.0
3874,E02004040,0.0015991471215351812,0.926226012793177,0.001279317697228145,0.0708955223880597,9380.0
3875,E02004041,0.0015072622636338722,0.928884625924911,0.0021923814743765417,0.06741573033707865,7298.0
3876,E02004043,0.0015145256780944513,0.9202808756712102,0.0004130524576621231,0.07779154619303318,7263.0
3877,E02004044,0.00320017656146546,0.9114985654380932,0.009269476936658574,0.07603178106378283,9062.0
3878,E02004045,0.0017583781547372776,0.9155978485726107,0.001551510136532892,0.08109226313611916,9668.0
3879,E02004046,0.000326477309826967,0.9286647078028077,0.0021221025138752855,0.06888671237349005,6126.0
3880,E02004047,0.000493421052631579,0.8896381578947369,0.0014802631578947369,0.10838815789473684,6080.0
3881,E02004048,0.00043091065785693766,0.9066360241309969,0.0043091065785693765,0.08862395863257684,6962.0
3882,E02004049,0.0012751849018107625,0.9132874266768681,0.0029329252741647537,0.08250446314715634,7842.0
3883,E02004050,0.0009081473793461339,0.9122989102231448,0.004800207576543851,0.08199273482096522,7708.0
3884,E02004051,0.0008352474420547087,0.9083315932344957,0.00887450407183128,0.08195865525161829,9578.0
3885,E02004052,0.001966227157066852,0.928059218135554,0.002775850104094379,0.06719870460328475,8646.0
3886,E02004053,0.001287001287001287,0.912097812097812,0.003088803088803089,0.08352638352638353,7770.0
3887,E02004054,0.000991626267078008,0.9221022476862054,0.0016527104451300133,0.0752534156015866,9076.0
3888,E02004055,0.0008751458576429405,0.9291131855309218,0.0013127187864644108,0.06869894982497082,6856.0
3889,E02004056,0.0008802816901408451,0.9161217303822937,0.0013832997987927565,0.08161468812877264,7952.0
3890,E02004057,0.0015655577299412916,0.9120678408349642,0.002478799739073712,0.08388780169602088,7665.0
3891,E02004058,0.0012632642748863063,0.9154876200101061,0.0024002021222839817,0.0808489135927236,7916.0
3892,E02004059,0.001818945011893102,0.9251434168182454,0.002518539247236603,0.07051909892262488,7147.0
3893,E02004060,0.0008048289738430583,0.9266264252179746,0.0009389671361502347,0.0716297786720322,7455.0
3894,E02004061,0.001366867140513942,0.9226353198469108,0.0038272279934390375,0.07217058501913615,7316.0
3895,E02004062,0.0007970244420828905,0.9358395324123273,0.002922422954303932,0.06044102019128587,7528.0
3896,E02004063,0.001688969728465636,0.9295829543978174,0.0019488112251526569,0.06677926464856437,7697.0
3897,E02004064,0.0023192072527935905,0.8792958043432427,0.007168458781362007,0.11121652962260173,9486.0
3898,E02004065,0.0017380509000620731,0.9243947858472998,0.002855369335816263,0.07101179391682184,8055.0
3899,E02004066,0.0021208907741251328,0.9114528101802757,0.006185931424531637,0.08024036762106751,11316.0
