,GEOGRAPHY_CODE,Divorced or civil partnership dissolved,Divorced or civil partnership dissolved: Divorced,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Married or in a registered civil partnership,Married or in a registered civil partnership: In a registered civil partnership,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Married or in a registered civil partnership: In a registered civil partnership: Same sex,Married or in a registered civil partnership: Married,Married or in a registered civil partnership: Married: Opposite sex,Married or in a registered civil partnership: Married: Same sex,Never married and never registered a civil partnership,"Separated, but still legally married or still legally in a civil partnership","Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership: Separated, but still married",Total: All usual residents aged 16 and over,Widowed or surviving civil partnership partner,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Widowed or surviving civil partnership partner: Widowed
5818,E02006059,0.08953960731211916,0.08953960731211916,0.0,0.5656736628300609,0.002200406228842248,0.0006770480704129993,0.0015233581584292485,0.5634732566012187,0.5611035883547731,0.002369668246445498,0.26252538930264047,0.018449559918754233,0.00033852403520649965,0.018111035883547733,5908.0,0.06381178063642519,0.0,0.06381178063642519
5819,E02006060,0.12139156180606958,0.12094744633604737,0.00044411547002220575,0.4082901554404145,0.001776461880088823,0.00029607698001480384,0.0014803849000740192,0.4065136935603257,0.40399703923019986,0.0025166543301258326,0.3601776461880089,0.03153219837157661,0.00044411547002220575,0.031088082901554404,6755.0,0.07860843819393042,0.0,0.07860843819393042
5820,E02006061,0.10085754511711251,0.100601561500064,0.0002559836170485089,0.5201587098425701,0.0007679508511455267,0.0002559836170485089,0.0005119672340970178,0.5193907589914245,0.5170869064379879,0.00230385255343658,0.2781261999232049,0.023934468194035583,0.0005119672340970178,0.023422500959938565,7813.0,0.07692307692307693,0.0,0.07692307692307693
5821,E02006062,0.09724116227840135,0.09713626350571698,0.0001048987726843596,0.5597398510437428,0.0013636840448966747,0.0006293926361061575,0.0007342914087905172,0.5583761669988461,0.5566977866358963,0.0016783803629497535,0.2401132906744991,0.01993076681002832,0.0,0.01993076681002832,9533.0,0.08297492919332844,0.0,0.08297492919332844
5822,E02006063,0.08561175666438825,0.08561175666438825,0.0,0.6044087491455913,0.0030758714969241286,0.0010252904989747095,0.002050580997949419,0.6013328776486672,0.5985987696514012,0.002734107997265892,0.2236842105263158,0.01760082023239918,0.0,0.01760082023239918,5852.0,0.06869446343130553,0.00017088174982911826,0.06852358168147642
5823,E02006064,0.12760682514219046,0.12716931602741724,0.00043750911477322444,0.43984249671868164,0.0020417092022750475,0.00014583637159107482,0.0018958728306839726,0.4378007875164066,0.4359049146857226,0.0018958728306839726,0.27519323319235817,0.029896456176170337,0.00014583637159107482,0.029750619804579263,6857.0,0.1274609887705994,0.00029167274318214965,0.12716931602741724
5824,E02006065,0.11871893981225842,0.11844284925455549,0.0002760905577029266,0.44146880176697956,0.0020706791827719492,0.0004141358365543898,0.0016565433462175593,0.43939812258420763,0.4374654886802871,0.001932633903920486,0.34166206515737163,0.029265599116510214,0.0,0.029265599116510214,7244.0,0.06888459414688018,0.0001380452788514633,0.06874654886802871
5825,E02006066,0.10252475938066676,0.10210629097503139,0.00041846840563537454,0.5314548751569257,0.003626726182173246,0.0019528525596317478,0.0016738736225414982,0.5278281489747524,0.5248988701353048,0.0029292788394476217,0.27270191100571906,0.01785465197377598,0.00013948946854512484,0.017715162505230857,7169.0,0.07546380248291254,0.0,0.07546380248291254
5826,E02006067,0.10216666666666667,0.10216666666666667,0.0,0.5375,0.0026666666666666666,0.0016666666666666668,0.001,0.5348333333333334,0.5321666666666667,0.0026666666666666666,0.26,0.019166666666666665,0.00016666666666666666,0.019,6000.0,0.08116666666666666,0.0,0.08116666666666666
5827,E02006068,0.11210253082414016,0.11161583387410773,0.0004866969500324465,0.3707008436080467,0.001946787800129786,0.000973393900064893,0.000973393900064893,0.3687540558079169,0.3676184295911746,0.0011356262167423752,0.43218689162881246,0.027741726151849447,0.0003244646333549643,0.027417261518494485,6164.0,0.0572680077871512,0.0,0.0572680077871512
