,GEOGRAPHY_CODE,Household reference person has not previously served in regular or reserve UK armed forces,Household reference person previously served in both regular and reserve UK armed forces,Household reference person previously served in regular UK armed forces,Household reference person previously served in reserve UK armed forces,Total: All households
5881,E02006122,0.946282160022618,0.0019790783149561775,0.04438789934973141,0.0073508623126943735,3537.0
5882,E02006123,0.9441947565543071,0.0052434456928838954,0.036329588014981276,0.014232209737827715,2670.0
5883,E02006124,0.9524268723882996,0.0025715204114432656,0.038894246223079396,0.006107360977177756,3111.0
5884,E02006125,0.9465418302627605,0.0030202355783751134,0.042283298097251586,0.008154636061612805,3311.0
5885,E02006126,0.9449128724002248,0.0036537380550871277,0.040753232152894885,0.010680157391793142,3558.0
5886,E02006127,0.9528437724982002,0.0021598272138228943,0.035637149028077755,0.009359251259899209,2778.0
5887,E02006128,0.9343214924610274,0.002811142346026067,0.052645029389215434,0.010222335803731152,3913.0
5888,E02006129,0.9403801093465244,0.002863837542306691,0.043478260869565216,0.01327779224160375,3841.0
5889,E02006130,0.9446022727272727,0.003409090909090909,0.04403409090909091,0.007954545454545454,3520.0
5890,E02006131,0.9443053817271589,0.002190237797246558,0.04505632040050062,0.008448060075093867,3196.0
5891,E02006132,0.9275461380724539,0.004442925495557075,0.05639097744360902,0.01161995898838004,2926.0
5892,E02006133,0.9353266168345792,0.0022749431264218393,0.05329866753331167,0.009099772505687357,3077.0
5893,E02006134,0.936655592469546,0.0033222591362126247,0.04939091915836102,0.0106312292358804,4515.0
5894,E02006135,0.9340755933196602,0.0032229709932610606,0.052446527981248166,0.010254907705830648,3413.0
5895,E02006136,0.9410719573586023,0.0023689665383476457,0.04619484749777909,0.010364228605270951,3377.0
5896,E02006137,0.9419371865927686,0.0023752969121140144,0.04381103193454738,0.011876484560570071,3789.0
5897,E02006138,0.9635890767230169,0.0,0.02990897269180754,0.006501950585175552,3076.0
5898,E02006139,0.9651022864019254,0.00210589651022864,0.027376654632972324,0.005415162454873646,3324.0
5899,E02006140,0.9307848247900377,0.0017376194613379669,0.059079061685490875,0.008398494063133507,3453.0
5900,E02006141,0.9611531384175015,0.0006133714986710284,0.03066857493355142,0.0075649151502760175,4891.0
5901,E02006142,0.9356127886323268,0.004440497335701598,0.04884547069271759,0.011101243339253997,2252.0
5902,E02006143,0.9491390728476821,0.002913907284768212,0.036026490066225166,0.011920529801324504,3775.0
5903,E02006144,0.9441431670281996,0.0027114967462039045,0.04419739696312364,0.008947939262472886,3688.0
