,GEOGRAPHY_CODE,All other sexual orientations,Bisexual,Gay or Lesbian,Not answered,Straight or Heterosexual,Total: All usual residents aged 16 years and over
3814,E02003980,0.002781899109792285,0.012611275964391691,0.015022255192878338,0.06787833827893175,0.901706231454006,5392.0
3815,E02003981,0.002223869532987398,0.01278724981467754,0.01464047442550037,0.06226834692364715,0.9080800593031876,5396.0
3816,E02003982,0.001828710758914965,0.005790917403230723,0.007619628162145687,0.05364218226150564,0.931118561414203,6562.0
3817,E02003983,0.002393162393162393,0.011452991452991453,0.01452991452991453,0.06068376068376068,0.910940170940171,5850.0
3818,E02003984,0.003085824493731919,0.01832208293153327,0.01870781099324976,0.09431051108968178,0.8655737704918033,5185.0
3819,E02003985,0.001073345259391771,0.007334525939177102,0.012164579606440072,0.06082289803220036,0.9186046511627907,5590.0
3820,E02003986,0.0015748031496062992,0.009251968503937008,0.015354330708661417,0.062401574803149604,0.9114173228346457,5080.0
3821,E02003987,0.0017660910518053376,0.007653061224489796,0.007653061224489796,0.07397959183673469,0.9089481946624803,5096.0
3822,E02003988,0.0018014772113132769,0.009727976941091695,0.014952260853900199,0.0605296343001261,0.9129886506935687,5551.0
3823,E02003989,0.0014274385408406026,0.006026962727993656,0.009674861221252974,0.062490087232355274,0.9203806502775574,6305.0
3824,E02003990,0.0011070519207350825,0.009077825750027677,0.009631351710395218,0.06365548544226725,0.9165282851765748,9033.0
3825,E02003991,0.000781005935645111,0.0037488284910965324,0.008122461730709154,0.05795064042486723,0.929397063417682,6402.0
3826,E02003992,0.005952380952380952,0.025085034013605442,0.021967120181405897,0.07794784580498866,0.8690476190476191,7056.0
3827,E02003993,0.0011945845500398195,0.003981948500132732,0.008229360233607645,0.05919830103530661,0.9273958056809132,7534.0
3828,E02003994,0.0023167301009432402,0.0173754757570743,0.018037398643058082,0.06387555849743505,0.8983948370014894,6043.0
3829,E02003995,0.003711034141514102,0.011009401286491836,0.015957446808510637,0.07434438396833251,0.8949777337951509,8084.0
3830,E02003996,0.0059119496855345914,0.022138364779874214,0.023270440251572325,0.06427672955974843,0.8844025157232704,7950.0
3831,E02003997,0.0020352781546811396,0.010990502035278155,0.01316146540027137,0.07123473541383989,0.9025780189959295,7370.0
3832,E02003998,0.0013623978201634877,0.010509926041261192,0.011677695601401323,0.06130790190735695,0.915142078629817,5138.0
3833,E02003999,0.0019453260980853897,0.0069622197194635,0.012900583597829425,0.05405958840995188,0.9241322821746698,9767.0
3834,E02004000,0.0009246417013407304,0.006472491909385114,0.012713823393435044,0.06703652334720296,0.9128525196486361,4326.0
3835,E02004001,0.001998667554963358,0.014656895403064623,0.015767266266933155,0.061736620031090386,0.9058405507439484,4503.0
3836,E02004002,0.0018789928598271326,0.005887510960791683,0.008768633345859953,0.05837404484529626,0.925090817988225,7983.0
3837,E02004003,0.0018573934578474873,0.009802909916417295,0.012382623052316582,0.06180992673614694,0.9141471468372717,9691.0
3838,E02004004,0.0019240636223704464,0.01026167265264238,0.011929194458696767,0.060672139558748076,0.9152129297075423,7796.0
3839,E02004005,0.002523659305993691,0.009936908517350157,0.01025236593059937,0.06356466876971609,0.9137223974763407,6340.0
3840,E02004006,0.0012571588210643944,0.007123899986031568,0.011733482329934349,0.059645201843832936,0.9202402570191367,7159.0
3841,E02004007,0.0006091617933723197,0.007919103313840156,0.01023391812865497,0.06676413255360623,0.9144736842105263,8208.0
3842,E02004008,0.0012738853503184713,0.006551410373066424,0.006915377616014558,0.07552320291173795,0.9097361237488626,5495.0
3843,E02004009,0.002434001123385134,0.005242463958060288,0.010297697060475567,0.06253510578543343,0.9194907320726455,5341.0
3844,E02004010,0.0034092670075933675,0.01177746784441345,0.013792034712536804,0.08275220827522083,0.8882690221602355,6453.0
3845,E02004011,0.0020556096505463593,0.007681488694146922,0.009628908363085577,0.061668289516390785,0.9189657037758303,9243.0
3846,E02004012,0.001466275659824047,0.006493506493506494,0.01152073732718894,0.07687473816506074,0.9036447423544198,4774.0
3847,E02004013,0.0024088093599449415,0.007455838495067676,0.010782289515944024,0.06457903188804771,0.9147740307409956,8718.0
3848,E02004014,0.0021176826501285734,0.008319467554076539,0.007260626229012252,0.0747239449402511,0.9075782786265315,6611.0
3849,E02004015,0.0018241517694272164,0.014958044509303174,0.01805910251732944,0.08318132068588106,0.8819773805180591,5482.0
3850,E02004016,0.0030281182408074983,0.009084354722422494,0.011535688536409516,0.07166546503244413,0.9046863734679164,6935.0
3851,E02004017,0.0033458244111349037,0.012580299785867237,0.01351713062098501,0.06758565310492505,0.9029710920770878,7472.0
3852,E02004018,0.004770854416654619,0.019372560358536937,0.014312563249963857,0.0688159606765939,0.8927280612982507,6917.0
3853,E02004019,0.0015035333032626672,0.008119079837618403,0.009472259810554804,0.06420087204931589,0.9167042549992482,6651.0
3854,E02004020,0.001321353065539112,0.007531712473572939,0.009249471458773785,0.07980972515856237,0.9020877378435518,7568.0
3855,E02004021,0.0019329896907216496,0.005798969072164949,0.008376288659793814,0.0700171821305842,0.9138745704467354,4656.0
3856,E02004022,0.002918490723368772,0.006045445069835314,0.009380863039399626,0.0654575776526996,0.9161976235146967,4797.0
3857,E02004023,0.001524390243902439,0.008765243902439025,0.010670731707317074,0.07583841463414634,0.9032012195121951,5248.0
3858,E02004024,0.0009410288582183187,0.005018820577164366,0.008312421580928481,0.05724592220828106,0.9284818067754078,6376.0
3859,E02004025,0.0014641288433382138,0.006588579795021962,0.008784773060029283,0.07130307467057101,0.9118594436310395,6830.0
3860,E02004026,0.003071971913399649,0.013019309537741369,0.013019309537741369,0.06582796957284962,0.905061439438268,6836.0
3861,E02004027,0.0009838369641602248,0.006465214335910049,0.010541110330288124,0.07645818692902319,0.9055516514406184,7115.0
