,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_UKFORCEVET_6_NAME,OBS_VALUE
168,2021,E02002518,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,23
169,2021,E02002518,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,8474
170,2021,E02002519,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5984
171,2021,E02002519,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,327
172,2021,E02002519,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,57
173,2021,E02002519,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,15
174,2021,E02002519,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5585
175,2021,E02002520,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,11074
176,2021,E02002520,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,608
177,2021,E02002520,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,110
178,2021,E02002520,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,34
179,2021,E02002520,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,10322
180,2021,E02002521,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5110
181,2021,E02002521,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,263
182,2021,E02002521,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,48
183,2021,E02002521,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,12
184,2021,E02002521,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4787
185,2021,E02002523,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4604
186,2021,E02002523,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,160
187,2021,E02002523,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,35
188,2021,E02002523,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,13
189,2021,E02002523,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4396
190,2021,E02002524,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4426
191,2021,E02002524,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,210
192,2021,E02002524,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,46
193,2021,E02002524,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,12
194,2021,E02002524,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4158
195,2021,E02002525,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6734
196,2021,E02002525,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,333
197,2021,E02002525,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,65
198,2021,E02002525,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,17
199,2021,E02002525,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6319
200,2021,E02002526,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6313
201,2021,E02002526,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,306
202,2021,E02002526,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,52
203,2021,E02002526,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,21
204,2021,E02002526,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5934
205,2021,E02002527,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4000
206,2021,E02002527,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,162
207,2021,E02002527,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,45
208,2021,E02002527,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,10
209,2021,E02002527,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,3783
210,2021,E02002529,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4754
211,2021,E02002529,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,221
212,2021,E02002529,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,68
