,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESUK_6_NAME,OBS_VALUE
328,2021,E02002540,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",6
329,2021,E02002540,2021 super output areas - middle layer,152,Less than 2 years,15
330,2021,E02002541,2021 super output areas - middle layer,152,Total: All usual residents,6016
331,2021,E02002541,2021 super output areas - middle layer,152,Born in the UK,5793
332,2021,E02002541,2021 super output areas - middle layer,152,10 years or more,134
333,2021,E02002541,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",52
334,2021,E02002541,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",19
335,2021,E02002541,2021 super output areas - middle layer,152,Less than 2 years,18
336,2021,E02002542,2021 super output areas - middle layer,152,Total: All usual residents,8025
337,2021,E02002542,2021 super output areas - middle layer,152,Born in the UK,7710
338,2021,E02002542,2021 super output areas - middle layer,152,10 years or more,225
339,2021,E02002542,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",34
340,2021,E02002542,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",30
341,2021,E02002542,2021 super output areas - middle layer,152,Less than 2 years,26
342,2021,E02002543,2021 super output areas - middle layer,152,Total: All usual residents,9246
343,2021,E02002543,2021 super output areas - middle layer,152,Born in the UK,8764
344,2021,E02002543,2021 super output areas - middle layer,152,10 years or more,303
345,2021,E02002543,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",65
346,2021,E02002543,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",92
347,2021,E02002543,2021 super output areas - middle layer,152,Less than 2 years,22
348,2021,E02002544,2021 super output areas - middle layer,152,Total: All usual residents,8919
349,2021,E02002544,2021 super output areas - middle layer,152,Born in the UK,8439
350,2021,E02002544,2021 super output areas - middle layer,152,10 years or more,292
351,2021,E02002544,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",70
352,2021,E02002544,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",82
353,2021,E02002544,2021 super output areas - middle layer,152,Less than 2 years,36
354,2021,E02002545,2021 super output areas - middle layer,152,Total: All usual residents,5032
355,2021,E02002545,2021 super output areas - middle layer,152,Born in the UK,4866
356,2021,E02002545,2021 super output areas - middle layer,152,10 years or more,122
357,2021,E02002545,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",25
358,2021,E02002545,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",10
359,2021,E02002545,2021 super output areas - middle layer,152,Less than 2 years,9
360,2021,E02002546,2021 super output areas - middle layer,152,Total: All usual residents,7452
361,2021,E02002546,2021 super output areas - middle layer,152,Born in the UK,6783
362,2021,E02002546,2021 super output areas - middle layer,152,10 years or more,319
363,2021,E02002546,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",128
364,2021,E02002546,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",121
365,2021,E02002546,2021 super output areas - middle layer,152,Less than 2 years,101
