,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
234,2021,W02000082,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7415
235,2021,W02000082,2021 super output areas - middle layer,152,Cannot speak Welsh,6577
236,2021,W02000082,2021 super output areas - middle layer,152,Can speak Welsh,838
237,2021,W02000083,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8376
238,2021,W02000083,2021 super output areas - middle layer,152,Cannot speak Welsh,7105
239,2021,W02000083,2021 super output areas - middle layer,152,Can speak Welsh,1271
240,2021,W02000085,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8719
241,2021,W02000085,2021 super output areas - middle layer,152,Cannot speak Welsh,7785
242,2021,W02000085,2021 super output areas - middle layer,152,Can speak Welsh,934
243,2021,W02000087,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6583
244,2021,W02000087,2021 super output areas - middle layer,152,Cannot speak Welsh,6016
245,2021,W02000087,2021 super output areas - middle layer,152,Can speak Welsh,567
246,2021,W02000088,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8414
247,2021,W02000088,2021 super output areas - middle layer,152,Cannot speak Welsh,7397
248,2021,W02000088,2021 super output areas - middle layer,152,Can speak Welsh,1017
249,2021,W02000089,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8263
250,2021,W02000089,2021 super output areas - middle layer,152,Cannot speak Welsh,7316
251,2021,W02000089,2021 super output areas - middle layer,152,Can speak Welsh,947
252,2021,W02000090,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5539
253,2021,W02000090,2021 super output areas - middle layer,152,Cannot speak Welsh,4573
254,2021,W02000090,2021 super output areas - middle layer,152,Can speak Welsh,966
255,2021,W02000091,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6003
256,2021,W02000091,2021 super output areas - middle layer,152,Cannot speak Welsh,5112
257,2021,W02000091,2021 super output areas - middle layer,152,Can speak Welsh,891
258,2021,W02000092,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6508
259,2021,W02000092,2021 super output areas - middle layer,152,Cannot speak Welsh,5199
260,2021,W02000092,2021 super output areas - middle layer,152,Can speak Welsh,1309
261,2021,W02000093,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6383
262,2021,W02000093,2021 super output areas - middle layer,152,Cannot speak Welsh,5609
263,2021,W02000093,2021 super output areas - middle layer,152,Can speak Welsh,774
264,2021,W02000094,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8590
265,2021,W02000094,2021 super output areas - middle layer,152,Cannot speak Welsh,7618
266,2021,W02000094,2021 super output areas - middle layer,152,Can speak Welsh,972
267,2021,W02000095,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6259
268,2021,W02000095,2021 super output areas - middle layer,152,Cannot speak Welsh,5762
269,2021,W02000095,2021 super output areas - middle layer,152,Can speak Welsh,497
270,2021,W02000096,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6303
271,2021,W02000096,2021 super output areas - middle layer,152,Cannot speak Welsh,5311
272,2021,W02000096,2021 super output areas - middle layer,152,Can speak Welsh,992
273,2021,W02000424,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6550
274,2021,W02000424,2021 super output areas - middle layer,152,Cannot speak Welsh,5904
