,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_BEDROOMS_6_NAME,OBS_VALUE
167,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1669
168,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,188
169,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,33
170,2021,E02000169,2021 super output areas - middle layer,152,Total: All households,3027
171,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,926
172,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1026
173,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,955
174,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,98
175,2021,E02000169,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,22
176,2021,E02000170,2021 super output areas - middle layer,152,Total: All households,3465
177,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,870
178,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,944
179,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1442
180,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,172
181,2021,E02000170,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,37
182,2021,E02000171,2021 super output areas - middle layer,152,Total: All households,3330
183,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,655
184,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1027
185,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1440
186,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,177
187,2021,E02000171,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,31
188,2021,E02000172,2021 super output areas - middle layer,152,Total: All households,4035
189,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,437
190,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,924
191,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,2080
192,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,489
193,2021,E02000172,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,105
194,2021,E02000173,2021 super output areas - middle layer,152,Total: All households,3503
