,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
191,2021,E02005897,2021 super output areas - middle layer,152,Armed forces base address,6
192,2021,E02005897,2021 super output areas - middle layer,152,Another address when working away from home,33
193,2021,E02005897,2021 super output areas - middle layer,152,Holiday home,76
194,2021,E02005897,2021 super output areas - middle layer,152,Student's term-time address,2
195,2021,E02005897,2021 super output areas - middle layer,152,Student's home address,6
196,2021,E02005897,2021 super output areas - middle layer,152,Another parent or guardian's address,143
197,2021,E02005897,2021 super output areas - middle layer,152,Partner's address,35
198,2021,E02005897,2021 super output areas - middle layer,152,Other,55
199,2021,E02005897,2021 super output areas - middle layer,152,Second address type not specified,0
200,2021,E02005898,2021 super output areas - middle layer,152,Total: All usual residents,411
201,2021,E02005898,2021 super output areas - middle layer,152,Armed forces base address,6
202,2021,E02005898,2021 super output areas - middle layer,152,Another address when working away from home,24
203,2021,E02005898,2021 super output areas - middle layer,152,Holiday home,57
204,2021,E02005898,2021 super output areas - middle layer,152,Student's term-time address,6
205,2021,E02005898,2021 super output areas - middle layer,152,Student's home address,11
206,2021,E02005898,2021 super output areas - middle layer,152,Another parent or guardian's address,225
207,2021,E02005898,2021 super output areas - middle layer,152,Partner's address,32
208,2021,E02005898,2021 super output areas - middle layer,152,Other,50
209,2021,E02005898,2021 super output areas - middle layer,152,Second address type not specified,0
210,2021,E02005899,2021 super output areas - middle layer,152,Total: All usual residents,503
211,2021,E02005899,2021 super output areas - middle layer,152,Armed forces base address,9
212,2021,E02005899,2021 super output areas - middle layer,152,Another address when working away from home,33
213,2021,E02005899,2021 super output areas - middle layer,152,Holiday home,50
214,2021,E02005899,2021 super output areas - middle layer,152,Student's term-time address,1
215,2021,E02005899,2021 super output areas - middle layer,152,Student's home address,21
216,2021,E02005899,2021 super output areas - middle layer,152,Another parent or guardian's address,211
217,2021,E02005899,2021 super output areas - middle layer,152,Partner's address,71
218,2021,E02005899,2021 super output areas - middle layer,152,Other,107
219,2021,E02005899,2021 super output areas - middle layer,152,Second address type not specified,0
220,2021,E02005900,2021 super output areas - middle layer,152,Total: All usual residents,860
221,2021,E02005900,2021 super output areas - middle layer,152,Armed forces base address,7
222,2021,E02005900,2021 super output areas - middle layer,152,Another address when working away from home,29
223,2021,E02005900,2021 super output areas - middle layer,152,Holiday home,100
224,2021,E02005900,2021 super output areas - middle layer,152,Student's term-time address,0
225,2021,E02005900,2021 super output areas - middle layer,152,Student's home address,406
226,2021,E02005900,2021 super output areas - middle layer,152,Another parent or guardian's address,208
227,2021,E02005900,2021 super output areas - middle layer,152,Partner's address,35
228,2021,E02005900,2021 super output areas - middle layer,152,Other,75
229,2021,E02005900,2021 super output areas - middle layer,152,Second address type not specified,0
230,2021,E02005901,2021 super output areas - middle layer,152,Total: All usual residents,390
231,2021,E02005901,2021 super output areas - middle layer,152,Armed forces base address,8
232,2021,E02005901,2021 super output areas - middle layer,152,Another address when working away from home,39
233,2021,E02005901,2021 super output areas - middle layer,152,Holiday home,69
234,2021,E02005901,2021 super output areas - middle layer,152,Student's term-time address,4
235,2021,E02005901,2021 super output areas - middle layer,152,Student's home address,17
236,2021,E02005901,2021 super output areas - middle layer,152,Another parent or guardian's address,155
237,2021,E02005901,2021 super output areas - middle layer,152,Partner's address,36
238,2021,E02005901,2021 super output areas - middle layer,152,Other,62
239,2021,E02005901,2021 super output areas - middle layer,152,Second address type not specified,0
240,2021,E02005902,2021 super output areas - middle layer,152,Total: All usual residents,261
241,2021,E02005902,2021 super output areas - middle layer,152,Armed forces base address,5
242,2021,E02005902,2021 super output areas - middle layer,152,Another address when working away from home,17
243,2021,E02005902,2021 super output areas - middle layer,152,Holiday home,55
244,2021,E02005902,2021 super output areas - middle layer,152,Student's term-time address,3
245,2021,E02005902,2021 super output areas - middle layer,152,Student's home address,8
246,2021,E02005902,2021 super output areas - middle layer,152,Another parent or guardian's address,107
247,2021,E02005902,2021 super output areas - middle layer,152,Partner's address,24
248,2021,E02005902,2021 super output areas - middle layer,152,Other,42
249,2021,E02005902,2021 super output areas - middle layer,152,Second address type not specified,0
250,2021,E02005903,2021 super output areas - middle layer,152,Total: All usual residents,357
251,2021,E02005903,2021 super output areas - middle layer,152,Armed forces base address,13
252,2021,E02005903,2021 super output areas - middle layer,152,Another address when working away from home,21
253,2021,E02005903,2021 super output areas - middle layer,152,Holiday home,56
254,2021,E02005903,2021 super output areas - middle layer,152,Student's term-time address,1
255,2021,E02005903,2021 super output areas - middle layer,152,Student's home address,4
256,2021,E02005903,2021 super output areas - middle layer,152,Another parent or guardian's address,168
