,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ACCTYPE_9_NAME,OBS_VALUE
241,2021,E02004802,2021 super output areas - middle layer,152,Terraced,484
242,2021,E02004802,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,595
243,2021,E02004802,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",29
244,2021,E02004802,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",3
245,2021,E02004802,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",10
246,2021,E02004802,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,64
247,2021,E02004803,2021 super output areas - middle layer,152,Total,2651
248,2021,E02004803,2021 super output areas - middle layer,152,Detached,105
249,2021,E02004803,2021 super output areas - middle layer,152,Semi-detached,710
250,2021,E02004803,2021 super output areas - middle layer,152,Terraced,1256
251,2021,E02004803,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,559
252,2021,E02004803,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",15
253,2021,E02004803,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",1
254,2021,E02004803,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",5
255,2021,E02004803,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,0
256,2021,E02004804,2021 super output areas - middle layer,152,Total,2815
257,2021,E02004804,2021 super output areas - middle layer,152,Detached,431
258,2021,E02004804,2021 super output areas - middle layer,152,Semi-detached,1198
259,2021,E02004804,2021 super output areas - middle layer,152,Terraced,951
260,2021,E02004804,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,162
261,2021,E02004804,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",9
262,2021,E02004804,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",2
263,2021,E02004804,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",7
264,2021,E02004804,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,55
265,2021,E02004805,2021 super output areas - middle layer,152,Total,3506
266,2021,E02004805,2021 super output areas - middle layer,152,Detached,1355
267,2021,E02004805,2021 super output areas - middle layer,152,Semi-detached,819
268,2021,E02004805,2021 super output areas - middle layer,152,Terraced,422
269,2021,E02004805,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,816
270,2021,E02004805,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",51
271,2021,E02004805,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",22
272,2021,E02004805,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",14
273,2021,E02004805,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,7
274,2021,E02004806,2021 super output areas - middle layer,152,Total,3182
275,2021,E02004806,2021 super output areas - middle layer,152,Detached,1168
276,2021,E02004806,2021 super output areas - middle layer,152,Semi-detached,1108
277,2021,E02004806,2021 super output areas - middle layer,152,Terraced,662
278,2021,E02004806,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,179
279,2021,E02004806,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",10
280,2021,E02004806,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",4
281,2021,E02004806,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",12
282,2021,E02004806,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,39
283,2021,E02004807,2021 super output areas - middle layer,152,Total,3927
284,2021,E02004807,2021 super output areas - middle layer,152,Detached,549
285,2021,E02004807,2021 super output areas - middle layer,152,Semi-detached,1503
286,2021,E02004807,2021 super output areas - middle layer,152,Terraced,745
287,2021,E02004807,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,995
288,2021,E02004807,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",41
