,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,COB_NAME,OBS_VALUE
272,2001,E02002502,2001 super output areas - middle layer,305,All people,9596
273,2001,E02002502,2001 super output areas - middle layer,305,England,9271
274,2001,E02002502,2001 super output areas - middle layer,305,Scotland,104
275,2001,E02002502,2001 super output areas - middle layer,305,Wales,26
276,2001,E02002502,2001 super output areas - middle layer,305,Northern Ireland,31
277,2001,E02002502,2001 super output areas - middle layer,305,Republic of Ireland,30
278,2001,E02002502,2001 super output areas - middle layer,305,Other EU countries,40
279,2001,E02002502,2001 super output areas - middle layer,305,Elsewhere,94
280,2001,E02002503,2001 super output areas - middle layer,305,All people,6661
281,2001,E02002503,2001 super output areas - middle layer,305,England,6338
282,2001,E02002503,2001 super output areas - middle layer,305,Scotland,60
283,2001,E02002503,2001 super output areas - middle layer,305,Wales,30
284,2001,E02002503,2001 super output areas - middle layer,305,Northern Ireland,26
285,2001,E02002503,2001 super output areas - middle layer,305,Republic of Ireland,29
286,2001,E02002503,2001 super output areas - middle layer,305,Other EU countries,22
287,2001,E02002503,2001 super output areas - middle layer,305,Elsewhere,156
288,2001,E02002504,2001 super output areas - middle layer,305,All people,8170
289,2001,E02002504,2001 super output areas - middle layer,305,England,7519
290,2001,E02002504,2001 super output areas - middle layer,305,Scotland,97
291,2001,E02002504,2001 super output areas - middle layer,305,Wales,39
292,2001,E02002504,2001 super output areas - middle layer,305,Northern Ireland,33
293,2001,E02002504,2001 super output areas - middle layer,305,Republic of Ireland,35
294,2001,E02002504,2001 super output areas - middle layer,305,Other EU countries,61
295,2001,E02002504,2001 super output areas - middle layer,305,Elsewhere,386
296,2001,E02002505,2001 super output areas - middle layer,305,All people,6442
297,2001,E02002505,2001 super output areas - middle layer,305,England,6269
298,2001,E02002505,2001 super output areas - middle layer,305,Scotland,52
299,2001,E02002505,2001 super output areas - middle layer,305,Wales,17
300,2001,E02002505,2001 super output areas - middle layer,305,Northern Ireland,19
301,2001,E02002505,2001 super output areas - middle layer,305,Republic of Ireland,17
302,2001,E02002505,2001 super output areas - middle layer,305,Other EU countries,27
303,2001,E02002505,2001 super output areas - middle layer,305,Elsewhere,41
304,2001,E02002506,2001 super output areas - middle layer,305,All people,5458
