,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
115,2001,E02005903,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,756
116,2001,E02005903,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",239
117,2001,E02005903,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",26
118,2001,E02005903,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",29
119,2001,E02005903,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
120,2001,E02005904,2001 super output areas - middle layer,305,All household spaces - with residents,2552
121,2001,E02005904,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,70
122,2001,E02005904,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,5
123,2001,E02005904,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,1494
124,2001,E02005904,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,826
125,2001,E02005904,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,200
126,2001,E02005904,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",71
127,2001,E02005904,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",13
128,2001,E02005904,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",9
129,2001,E02005904,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,14
130,2001,E02005905,2001 super output areas - middle layer,305,All household spaces - with residents,2283
131,2001,E02005905,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,38
132,2001,E02005905,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,15
133,2001,E02005905,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,1585
134,2001,E02005905,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,534
135,2001,E02005905,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,90
136,2001,E02005905,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",67
137,2001,E02005905,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",24
138,2001,E02005905,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",15
139,2001,E02005905,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,21
140,2001,E02005906,2001 super output areas - middle layer,305,All household spaces - with residents,2486
141,2001,E02005906,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,75
142,2001,E02005906,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,7
143,2001,E02005906,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,1511
144,2001,E02005906,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,754
145,2001,E02005906,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,193
146,2001,E02005906,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",57
147,2001,E02005906,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",27
148,2001,E02005906,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",15
149,2001,E02005906,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,11
150,2001,E02005907,2001 super output areas - middle layer,305,All household spaces - with residents,3682
151,2001,E02005907,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,51
152,2001,E02005907,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,3
