,GEOGRAPHY_CODE,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,All categories: NS-SeC,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
5423,E02005549,0.10536218250235184,0.03951081843838194,0.0658513640639699,0.1763875823142051,0.04844778927563499,0.1810912511759172,0.15051740357478832,0.11194731890874883,0.14111006585136407,0.028692380056444027,2126.0,0.016462841015992474,0.012229539040451553,0.05644402634054563
5424,E02005550,0.09194915254237288,0.0288135593220339,0.06313559322033899,0.20296610169491525,0.06610169491525424,0.14364406779661018,0.1483050847457627,0.12457627118644068,0.1440677966101695,0.0288135593220339,2360.0,0.013135593220338982,0.015677966101694914,0.04957627118644068
5425,E02005551,0.10034602076124567,0.031141868512110725,0.06920415224913495,0.19838523644752018,0.05132641291810842,0.21510957324106114,0.11476355247981546,0.12687427912341406,0.11649365628604383,0.03806228373702422,1734.0,0.0196078431372549,0.01845444059976932,0.03863898500576701
5426,E02005552,0.12347140039447732,0.03708086785009862,0.0863905325443787,0.20749506903353057,0.033925049309664695,0.2406311637080868,0.10177514792899409,0.12504930966469427,0.10571992110453649,0.033925049309664695,2535.0,0.020118343195266272,0.013806706114398421,0.028007889546351084
5427,E02005553,0.09366485013623978,0.02861035422343324,0.06505449591280654,0.18153950953678474,0.052111716621253405,0.21389645776566757,0.12193460490463215,0.12397820163487738,0.14134877384196184,0.02690735694822888,2936.0,0.014645776566757493,0.01226158038147139,0.04461852861035422
5428,E02005554,0.11460577337354588,0.03532959931064197,0.07927617406290392,0.1943127962085308,0.05988797931925894,0.18612666953899182,0.12882378285221888,0.11848341232227488,0.12882378285221888,0.027574321413183972,2321.0,0.011632916846186989,0.015941404566996983,0.04136148211977596
5429,E02005555,0.17466329966329966,0.04335016835016835,0.13131313131313133,0.2622053872053872,0.06902356902356903,0.1367845117845118,0.10900673400673401,0.09638047138047139,0.07617845117845118,0.011784511784511785,2376.0,0.005050505050505051,0.006734006734006734,0.06397306397306397
5430,E02005556,0.07034632034632035,0.023448773448773448,0.046897546897546896,0.1782106782106782,0.06637806637806638,0.11435786435786435,0.15981240981240982,0.1673881673881674,0.15476190476190477,0.02813852813852814,2772.0,0.01948051948051948,0.008658008658008658,0.06060606060606061
5431,E02005557,0.023696682464454975,0.01042654028436019,0.013270142180094787,0.07819905213270142,0.03696682464454976,0.10758293838862559,0.13127962085308056,0.24028436018957347,0.22085308056872038,0.0895734597156398,2110.0,0.04454976303317536,0.045023696682464455,0.07156398104265403
5432,E02005558,0.0921158487530169,0.03258246178600161,0.05953338696701529,0.14963797264682221,0.04827031375703942,0.1830249396621078,0.13877715205148833,0.15325824617860015,0.15526950925181013,0.029364440868865648,2486.0,0.017699115044247787,0.01166532582461786,0.0502815768302494
