,GEOGRAPHY_CODE,All categories: Usual residents by communal establishment management and type,All communal establishments,Establishment not stated,Medical and care establishment: Local Authority: Care home or other home,Medical and care establishment: Local Authority: Children's home (including secure units),Medical and care establishment: NHS: General hospital,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),Medical and care establishment: NHS: Other hospital,Medical and care establishment: Other,Medical and care establishment: Other: Care home with nursing,Medical and care establishment: Other: Care home without nursing,Medical and care establishment: Other: Children's home (including secure units),Medical and care establishment: Registered Social Landlord/Housing Association,Other establishments
5184,E02005616,13.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5185,E02005617,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5186,E02005619,124.0,0.07258064516129033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3870967741935484,0.23387096774193547,0.16129032258064516,0.0,0.21774193548387097
5187,E02005620,177.0,0.02824858757062147,0.0,0.24858757062146894,0.0,0.0,0.0,0.0,0.0,0.192090395480226,0.0,0.0,0.0,0.559322033898305
5188,E02005621,1126.0,0.015985790408525755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03463587921847247,0.0,0.0,0.9653641207815276
5189,E02005622,39.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5190,E02005623,226.0,0.02654867256637168,0.4646017699115044,0.0,0.0,0.0,0.0,0.0,0.0,0.5265486725663717,0.0,0.0,0.0,0.2411504424778761
5191,E02005624,0.0,inf,,,,,,,,,,,,
5192,E02005625,143.0,0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8951048951048951,0.0,0.0,0.1048951048951049
5193,E02005626,38.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5194,E02005627,0.0,inf,,,,,,,,,,,,
5195,E02005628,84.0,0.05952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5196,E02005629,51.0,0.13725490196078433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5197,E02005630,1002.0,0.012974051896207584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04291417165668663,0.033932135728542916,0.0,0.0,0.9231536926147704
5198,E02005631,29.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5199,E02005632,113.0,0.05309734513274336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6371681415929203,0.36283185840707965,0.0,0.0,0.0
5200,E02005633,113.0,0.035398230088495575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26548672566371684,0.7345132743362832,0.0,0.0,0.0
5201,E02005634,125.0,0.04,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.28,0.416,0.0,0.0,0.256
5202,E02005635,71.0,0.08450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5203,E02005636,149.0,0.0738255033557047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6375838926174496,0.3422818791946309,0.020134228187919462,0.0,0.0
5204,E02005637,143.0,0.06993006993006994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993006993006993,0.0,0.11888111888111888,0.18181818181818182
5205,E02005638,59.0,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.1864406779661017,0.6271186440677966,0.0847457627118644,0.0,0.0,0.1016949152542373
5206,E02005639,81.0,0.13580246913580246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.654320987654321,0.19753086419753085,0.0,0.0,0.14814814814814814
5207,E02005640,148.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4391891891891892,0.5608108108108109,0.0,0.0,0.0
5208,E02005641,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
5209,E02005642,135.0,0.06666666666666667,0.007407407407407408,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555556,0.0,0.0,0.007407407407407408
5210,E02005644,139.0,0.07913669064748201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41007194244604317,0.5899280575539568,0.0,0.0,0.0
5211,E02005645,270.0,0.0962962962962963,0.0,0.0,0.0,0.25555555555555554,0.0,0.0,0.0,0.07037037037037037,0.46296296296296297,0.0,0.0,0.2111111111111111
5212,E02005647,82.0,0.08536585365853659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5213,E02005648,48.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.9583333333333334,0.0,0.0,0.0
5214,E02005649,45.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5215,E02005650,1121.0,0.009812667261373774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04014272970561998,0.0,0.0,0.9598572702943801
5216,E02005651,64.0,0.078125,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.59375,0.0,0.0,0.3125
5217,E02005652,86.0,0.12790697674418605,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883720930232558,0.0,0.0,0.011627906976744186
5218,E02005653,94.0,0.05319148936170213,0.0,0.48936170212765956,0.0,0.0,0.0,0.0,0.0,0.0,0.24468085106382978,0.0,0.0,0.26595744680851063
5219,E02005655,42.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.7857142857142857,0.16666666666666666,0.0,0.0,0.0
5220,E02005656,0.0,inf,,,,,,,,,,,,
5221,E02005657,11.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0
5222,E02005658,13.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0
5223,E02005659,49.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9795918367346939,0.0,0.0,0.02040816326530612
5224,E02005660,47.0,0.06382978723404255,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085
5225,E02005661,34.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.5294117647058824,0.0,0.0,0.0
5226,E02005662,164.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.0,0.7439024390243902,0.0,0.0,0.08536585365853659
5227,E02005663,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5228,E02005664,481.0,0.05197505197505198,0.004158004158004158,0.0,0.0,0.0,0.0,0.0,0.012474012474012475,0.10602910602910603,0.47193347193347196,0.02079002079002079,0.0,0.3866943866943867
5229,E02005665,7.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5230,E02005666,0.0,inf,,,,,,,,,,,,
5231,E02005667,102.0,0.058823529411764705,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.20588235294117646,0.38235294117647056,0.0,0.0,0.0
5232,E02005668,38.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0
5233,E02005669,53.0,0.05660377358490566,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.9433962264150944,0.0,0.0,0.018867924528301886
5234,E02005670,239.0,0.04184100418410042,0.0,0.0,0.0,0.0,0.0,0.0,0.0041841004184100415,0.0,0.02092050209205021,0.0,0.0,0.9748953974895398
5235,E02005671,55.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.9272727272727272,0.01818181818181818,0.0,0.0
5236,E02005672,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5237,E02005673,176.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32954545454545453,0.6704545454545454,0.0,0.0,0.0
5238,E02005674,554.0,0.03790613718411552,0.10108303249097472,0.0,0.0,0.0,0.7779783393501805,0.0,0.0,0.0,0.05956678700361011,0.0,0.0,0.11191335740072202
5239,E02005675,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5240,E02005676,15.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5241,E02005677,9.0,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5242,E02005678,44.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5243,E02005679,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5244,E02005680,93.0,0.021505376344086023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5245,E02005681,42.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5246,E02005682,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5247,E02005683,171.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.36257309941520466,0.4093567251461988,0.14035087719298245,0.0,0.0,0.08771929824561403
5248,E02005684,45.0,0.15555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.022222222222222223,0.0,0.0,0.2
5249,E02005685,32.0,0.09375,0.0,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0
5250,E02005686,111.0,0.05405405405405406,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.7027027027027027,0.2702702702702703,0.0,0.0,0.02252252252252252
5251,E02005687,59.0,0.15254237288135594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3898305084745763,0.576271186440678,0.0,0.0,0.03389830508474576
